# Catégorie : Géographie
# Emoji : 🌍
# Firmware : 2
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Capitale de la France ?|Paris|1|enfants ados adultes aines
Capitale de l'Italie ?|Rome|1|ados adultes aines
Capitale de l'Espagne ?|Madrid|1|ados adultes aines
Capitale du Japon ?|Tokyo|1|ados adultes aines
Capitale du Canada ?|Ottawa|1|enfants ados adultes aines
Capitale des États-Unis ?|Washington|1|ados adultes aines
Capitale de l'Australie ?|Canberra|2|ados adultes aines
Capitale de l'Allemagne ?|Berlin|1|ados adultes aines
Capitale de la Russie ?|Moscou|1|ados adultes aines
Capitale de l'Angleterre ?|Londres|1|enfants ados adultes aines
Quel fleuve traverse l'Égypte ?|Le Nil|1|enfants ados adultes aines
Quel est le plus haut sommet du monde ?|L'Everest|1|enfants ados adultes aines
Quel est le plus grand désert chaud du monde ?|Le Sahara|1|enfants ados adultes aines
Quel est le plus grand pays du monde ?|La Russie|1|enfants ados adultes aines
Quel est le plus petit pays du monde ?|Le Vatican|2|ados adultes aines
Quel est le continent le plus peuplé ?|L'Asie|1|ados adultes aines
Quel est le plus grand océan ?|Le Pacifique|1|enfants ados adultes aines
Dans quel pays vivent les kangourous ?|L'Australie|1|enfants ados adultes aines
Quel volcan célèbre domine le Japon ?|Le mont Fuji|2|ados adultes aines
Quelle cordillère longe l'Amérique du Sud ?|Les Andes|2|ados adultes aines
Dans quel pays se trouve la majorité de l'Amazonie ?|Le Brésil|1|enfants ados adultes aines
Langue parlée au Brésil ?|Le portugais|2|ados adultes aines
Langue parlée au Mexique ?|L'espagnol|1|ados adultes aines
Combien de provinces compte le Canada ?|Dix|1|enfants ados adultes aines
Quelle est la plus petite province canadienne ?|Prince-Édouard|1|ados adultes aines
Combien y a-t-il de Grands Lacs ?|Cinq|1|ados adultes aines
Quel est le plus grand des Grands Lacs ?|Le lac Supérieur|2|ados adultes aines
Quelle mer sépare l'Europe de l'Afrique ?|La Méditerranée|1|ados adultes aines
Quelle chaîne de montagnes traverse la Suisse ?|Les Alpes|1|ados adultes aines
Quelle ville italienne est célèbre pour ses canaux ?|Venise|1|ados adultes aines
Où se trouvent les pyramides de Gizeh ?|En Égypte|1|enfants ados adultes aines
Quel pays a offert la statue de la Liberté ?|La France|2|ados adultes aines
Dans quelle ville se trouve la tour Eiffel ?|Paris|1|enfants ados adultes aines
Quel détroit sépare l'Europe de l'Afrique ?|Gibraltar|2|ados adultes aines
Quel pays a la feuille d'érable sur son drapeau ?|Le Canada|1|enfants ados adultes aines
Quel océan borde la côte ouest du Canada ?|Le Pacifique|1|enfants ados adultes aines
Quel est le plus long fleuve du Canada ?|Le Mackenzie|3|adultes aines
Sur quel continent se trouve le pôle Sud ?|L'Antarctique|1|enfants ados adultes aines
# La réponse a changé en 2023 ; bien du monde répond encore la Chine.
Quel pays compte le plus d'habitants ?|L'Inde|2|ados adultes aines
> Quel pays a dépassé la Chine en population en 2023 ?|L'Inde
Quelle île française a vu naître Napoléon ?|La Corse|2|ados adultes aines
Capitale de la Chine ?|Pékin|1|ados adultes aines
Capitale de l'Inde ?|New Delhi|2|ados adultes aines
Capitale du Brésil ?|Brasilia|2|ados adultes aines
Capitale de l'Argentine ?|Buenos Aires|2|ados adultes aines
Capitale de l'Égypte ?|Le Caire|2|ados adultes aines
Capitale de la Grèce ?|Athènes|1|ados adultes aines
Capitale du Portugal ?|Lisbonne|2|ados adultes aines
Capitale de la Suisse ?|Berne|3|adultes aines
Capitale de la Belgique ?|Bruxelles|1|ados adultes aines
Capitale des Pays-Bas ?|Amsterdam|2|ados adultes aines
Capitale de la Suède ?|Stockholm|2|ados adultes aines
Capitale de la Norvège ?|Oslo|2|ados adultes aines
Capitale de l'Irlande ?|Dublin|2|ados adultes aines
Capitale de l'Écosse ?|Édimbourg|2|ados adultes aines
Capitale de la Pologne ?|Varsovie|2|ados adultes aines
Capitale de l'Autriche ?|Vienne|2|ados adultes aines
Capitale de la Turquie ?|Ankara|3|adultes aines
Capitale du Maroc ?|Rabat|3|adultes aines
Capitale du Mexique ?|Mexico|1|ados adultes aines
Capitale de Cuba ?|La Havane|2|ados adultes aines
Capitale de la Corée du Sud ?|Séoul|2|ados adultes aines
Capitale du Danemark ?|Copenhague|2|ados adultes aines
Capitale de la Finlande ?|Helsinki|2|ados adultes aines
Capitale de l'Islande ?|Reykjavik|3|adultes aines
Capitale du Kenya ?|Nairobi|3|adultes aines
Capitale de la Colombie-Britannique ?|Victoria|2|ados adultes aines
Capitale de l'Ontario ?|Toronto|1|ados adultes aines
