# Bouffe et cuisine, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Pays d'origine de la pizza ?|L'Italie|1
De quel pays viennent les sushis ?|Le Japon|1
Pays d'origine de la paella ?|L'Espagne|1
De quel pays viennent les tacos ?|Le Mexique|1
Pays d'origine du croissant ?|La France|1
Pays d'origine de la fondue au fromage ?|La Suisse|1
Quel légume principal compose le guacamole ?|L'avocat|1
De quelle légumineuse est fait le houmous ?|Pois chiches|2
De quoi est fait le tofu ?|Du soja|1
Quel fruit principal compose le ketchup ?|La tomate|1
Quel insecte fabrique le miel ?|L'abeille|1
De quel liquide fait-on le sirop d'érable ?|L'eau d'érable|1
De quoi est fait le fromage ?|Du lait|1
De quel fruit fait-on le vin ?|Le raisin|1
De quelle fève fait-on le chocolat ?|Le cacao|1
Quelle vitamine trouve-t-on dans les oranges ?|La vitamine C|1
De quelle couleur est la chair de l'avocat ?|Verte|1
Quel légume fait pleurer quand on le coupe ?|L'oignon|1
Quelle pâte longue et fine mange-t-on avec des boulettes ?|Le spaghetti|1
Quelle céréale est la base de l'alimentation en Asie ?|Le riz|1
Avec quelle farine fait-on le pain traditionnel ?|La farine de blé|1
Quel plat fait-on en battant des œufs à la poêle ?|L'omelette|1
Quel fruit jaune les singes adorent-ils ?|La banane|1
Quel aliment orange est riche en carotène ?|La carotte|1
Quel mollusque mange-t-on avec du beurre à l'ail ?|L'escargot|1
Quelle boisson chaude est faite de grains torréfiés ?|Le café|1
Quelle plante donne le thé ?|Le théier|2
Quel condiment jaune accompagne le hot-dog ?|La moutarde|1
Quelle herbe verte garnit la pizza margherita ?|Le basilic|1
# Ambigu : le bleu d'Auvergne est célèbre aussi. Le lait de brebis tranche.
Quel fromage bleu français est très célèbre ?|Le roquefort|2
> Quel fromage bleu français au lait de brebis est le plus célèbre ?|Le roquefort
Quel plat japonais est une soupe de nouilles ?|Le ramen|1
Quel dessert italien contient du café et du mascarpone ?|Le tiramisu|1
Quelle pâte à base de tomates nappe les pizzas ?|La sauce tomate|1
Quel fruit rouge garnit le shortcake ?|La fraise|1
Quelle noix compose le beurre le plus vendu ?|L'arachide|1
Quel plat marocain cuit dans un plat conique ?|Le tajine|2
Quelle semoule accompagne les plats du Maghreb ?|Le couscous|1
Quel poisson orange est populaire en sushi ?|Le saumon|1
