# Catégorie : Sports
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Avec quel objet frappe-t-on la balle au baseball ?|Le bâton|1
Comment s'appelle le joueur qui garde le filet au hockey ?|Le gardien de but|1
Quelle médaille reçoit celui qui termine premier ?|L'or|1
Quel sport se pratique dans une piscine ?|La natation|1
Quel sport de glisse descend les pentes enneigées sur deux planches étroites ?|Le ski|1
Quel sport se joue avec un ballon rond qu'on frappe du pied dans un but ?|Le soccer|1
Quel sport se joue avec un ballon orange qu'on lance dans un panier ?|Le basketball|1
Quel sport se pratique sur une planche à quatre roulettes ?|La planche à roulettes|1
Quel équipement protège la tête à vélo et au hockey ?|Le casque|1
Quel sport se joue avec un ballon qu'on frappe des mains par-dessus un filet ?|Le volleyball|1
Quel jeu de cour d'école consiste à courir après les autres pour les toucher ?|La tag|1
Quel jeu de cour d'école saute sur des cases numérotées dessinées à la craie ?|La marelle|1
Quel jeu de cour d'école fait sauter par-dessus une corde qui tourne ?|La corde à danser|1
Quel jeu oppose deux équipes qui tirent chacune sur le bout d'une corde ?|Le tir à la corde|1
Quel jeu de gymnase oppose deux équipes qui se lancent des ballons pour éliminer les autres ?|Le ballon chasseur|1
Quel jeu consiste à se cacher pendant qu'un joueur compte les yeux fermés ?|La cachette|1
Quel sport joue-t-on dans la rue avec une balle orange et des bâtons de hockey ?|Le hockey de rue|1
Quel disque de plastique lance-t-on à un ami ou à un chien au parc ?|Le frisbee|1
Quel jeu de table imite le soccer avec des joueurs fixés sur des tiges ?|Le babyfoot|1
Quel jeu de table fait glisser une rondelle sur un coussin d'air ?|Le hockey sur air|1
Quelle activité d'hiver descend une pente sur un traîneau ou une chambre à air ?|La glissade|1
Quelle activité d'hiver marche sur la neige avec de grandes raquettes aux pieds ?|La raquette|1
Quelle activité se pratique avec une canne et un hameçon ?|La pêche|1
Quelle activité d'été fait dormir sous une tente ?|Le camping|1
Quelle activité consiste à marcher longtemps sur des sentiers en forêt ou en montagne ?|La randonnée|1
Quel sport aquatique saute d'un tremplin dans une piscine ?|Le plongeon|1
Quel cerceau fait-on tourner autour de la taille ?|Le hula hoop|1
Dans quel sport les joueurs portent-ils épaulettes et casque à grille et courent-ils avec un ballon ovale ?|Le football|1
Quelle embarcation étroite se dirige avec une pagaie à deux pales ?|Le kayak|1
Quel objet rond et gonflé frappe-t-on à la volée sur la plage ?|Le ballon de plage|1
