# Catégorie : Cinéma et télé
# Emoji : 🎬
# Firmware : 6
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Qui est le père de Luke Skywalker ?|Dark Vador|1|enfants ados adultes aines
Quel extraterrestre veut téléphoner à la maison ?|E.T.|1|enfants ados adultes aines
Comment s'appelle le lionceau du Roi Lion ?|Simba|1|enfants ados adultes aines
Quel type de poisson est Nemo ?|Un poisson-clown|1|enfants ados adultes aines
Quelle créature verte vit dans un marais ?|Shrek|1|enfants ados adultes aines
Comment s'appelle l'école de Harry Potter ?|Poudlard|1|enfants ados adultes aines
Comment s'appelle la chouette de Harry Potter ?|Hedwige|1|enfants ados adultes aines
Quel est le matricule de James Bond ?|007|1|ados adultes aines
Dans quelle ville vit Batman ?|Gotham|1|enfants ados adultes aines
De quelle planète vient Superman ?|Krypton|1|enfants ados adultes aines
Quelle substance affaiblit Superman ?|La kryptonite|1|enfants ados adultes aines
Quel héros a été piqué par une araignée ?|Spider-Man|1|enfants ados adultes aines
Qui a créé Mickey Mouse ?|Walt Disney|1|enfants ados adultes aines
Dans quelle ville vivent les Simpson ?|Springfield|1|enfants ados adultes aines
De quelle couleur sont les Simpson ?|Jaunes|1|enfants ados adultes aines
Quels sont les deux héros de Toy Story ?|Woody et Buzz|1|enfants ados adultes aines
Quelle reine a des pouvoirs de glace chez Disney ?|Elsa|1|enfants ados adultes aines
Quel acteur muet portait un chapeau melon et une canne ?|Charlie Chaplin|2|adultes aines
Quel acteur joue Jack dans Titanic ?|Leonardo DiCaprio|1|ados adultes aines
Quels animaux revivent dans Jurassic Park ?|Les dinosaures|1|enfants ados adultes aines
Quel archéologue porte un fouet et un chapeau ?|Indiana Jones|1|ados adultes aines
De quelle couleur sont les habitants de Pandora ?|Bleus|1|ados adultes aines
Quel boxeur de cinéma monte les marches de Philadelphie ?|Rocky|2|adultes aines
Comment s'appelle la statuette du cinéma américain ?|L'Oscar|1|ados adultes aines
Dans quelle ville se trouve Hollywood ?|Los Angeles|1|ados adultes aines
Comment s'appelle le cinéma de l'Inde ?|Bollywood|2|ados adultes aines
Quel ogre a un ami âne très bavard ?|Shrek|1|enfants ados adultes aines
Quel pirate est joué par Johnny Depp ?|Jack Sparrow|1|ados adultes aines
Quel magicien gris guide la Communauté de l'anneau ?|Gandalf|1|ados adultes aines
Quelle voiture voyage dans le temps dans Retour vers le futur ?|La DeLorean|2|adultes aines
Quel jouet cowboy appartient à Andy ?|Woody|1|enfants ados adultes aines
Quel personnage vert déteste Noël ?|Le Grincheux|1|enfants ados adultes aines
# La question demandait un requin, la réponse est un titre de film.
Quel requin a terrorisé les plages en 1975 ?|Les Dents de la mer|2|adultes aines
> Quel film de 1975 a vidé les plages avec son requin géant ?|Les Dents de la mer
Quel robot dit Hasta la vista, baby ?|Terminator|2|adultes aines
# Erreur dans la source (c'est un rat), et doublon avec la question sur Rémy plus bas.
Quelle souris cuisine dans Ratatouille ?|Rémy (un rat)|1|enfants ados adultes aines
> Dans quel film Pixar un rat devient-il chef cuisinier à Paris ?|Ratatouille
Quel héros devient vert quand il se fâche ?|Hulk|1|enfants ados adultes aines
Quel milliardaire porte une armure rouge et or ?|Iron Man|1|enfants ados adultes aines
Quel dieu nordique manie un marteau chez Marvel ?|Thor|1|enfants ados adultes aines
Comment s'appelle le bonhomme de neige de La Reine des neiges ?|Olaf|1|enfants ados adultes aines
Quelle émission jeunesse québécoise a Passe-Montagne ?|Passe-Partout|1|enfants ados adultes aines
Quel poisson bleu perd la mémoire dans Nemo ?|Dory|1|enfants ados adultes aines
Quel patrouilleur de l'espace dit Vers l'infini et plus loin ?|Buzz|1|enfants ados adultes aines
Quelle famille de super-héros Pixar porte du rouge ?|Les Incroyables|1|enfants ados adultes aines
Quel monstre bleu et poilu travaille avec Mike ?|Sulley|1|enfants ados adultes aines
Dans quel film Pixar une maison vole-t-elle avec des ballons ?|Là-haut|1|enfants ados adultes aines
Quelles petites créatures jaunes adorent les bananes ?|Les Minions|1|enfants ados adultes aines
Quel méchant des Minions veut voler la Lune ?|Gru|1|enfants ados adultes aines
Quel panda pratique le kung-fu au cinéma ?|Po|1|enfants ados adultes aines
Quel dragon noir accompagne Harold ?|Krokmou|1|enfants ados adultes aines
Quelle princesse Disney a de très longs cheveux magiques ?|Raiponce|1|enfants ados adultes aines
Quelle sirène Disney rêve de vivre sur terre ?|Ariel|1|enfants ados adultes aines
Quelle princesse perd sa pantoufle de verre ?|Cendrillon|1|enfants ados adultes aines
Comment se nomme la Belle au bois dormant chez Disney ?|Aurore|2|ados adultes aines
Dans quel conte Disney une rose est-elle sous cloche ?|La Belle et la Bête|1|enfants ados adultes aines
Quelle nounou anglaise vole avec un parapluie ?|Mary Poppins|1|adultes aines
Quel garçon ne veut jamais grandir ?|Peter Pan|1|enfants ados adultes aines
Quelle fée accompagne Peter Pan ?|Clochette|1|enfants ados adultes aines
Quel pirate est l'ennemi juré de Peter Pan ?|Capitaine Crochet|1|enfants ados adultes aines
Quelle série suit six amis dans un café new-yorkais ?|Friends|1|ados adultes aines
Comment s'appelle le café de Friends ?|Central Perk|2|ados adultes
Quelle série fantastique a des dragons et un trône de fer ?|Game of Thrones|1|ados adultes
Quelle série espagnole suit des braqueurs en combinaison rouge ?|La casa de papel|2|ados adultes
Quel vaisseau pilote Han Solo ?|Faucon Millénium|1|enfants ados adultes aines
Quel petit robot rond accompagne C-3PO ?|R2-D2|1|enfants ados adultes aines
Quelle arme lumineuse utilisent les Jedi ?|Le sabre laser|1|enfants ados adultes aines
Quel petit maître Jedi vert parle à l'envers ?|Yoda|1|enfants ados adultes aines
Quel hobbit doit détruire l'anneau unique ?|Frodon|1|enfants ados adultes aines
Quelle créature de Tolkien dit mon précieux ?|Gollum|1|enfants ados adultes aines
Quel mage noir est l'ennemi de Harry Potter ?|Voldemort|1|enfants ados adultes aines
Quel sport sorcier se joue sur des balais ?|Le quidditch|1|enfants ados adultes aines
Quel acteur incarne Iron Man au cinéma ?|Robert Downey Jr|2|ados adultes
Quelle émission québécoise du jour de l'An revoit l'année ?|Bye Bye|1|enfants ados adultes aines
Quelle marionnette verte du Muppet Show anime le spectacle ?|Kermit|1|enfants ados adultes aines
Quel canard milliardaire plonge dans ses pièces d'or ?|Picsou|1|adultes aines
Quel marin devient fort en mangeant des épinards ?|Popeye|1|aines
Quel chat orange déteste les lundis et adore la lasagne ?|Garfield|1|adultes aines
Quel grand danois froussard résout des mystères ?|Scooby-Doo|1|enfants ados adultes aines
Quel film de 1939 suit Dorothy sur une route jaune ?|Magicien d'Oz|1|adultes aines
