# Catégorie : Musique
# Emoji : 🎵
# Firmware : 5
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Combien de notes dans la gamme de do majeur ?|Sept|1|ados adultes aines
Combien de touches sur un piano standard ?|88|2|ados adultes aines
Combien de cordes sur un violon ?|Quatre|2|ados adultes aines
Combien de cordes sur une guitare classique ?|Six|1|enfants ados adultes aines
De quelle ville viennent les Beatles ?|Liverpool|2|ados adultes aines
Combien de membres comptaient les Beatles ?|Quatre|1|ados adultes aines
Pays d'origine du groupe ABBA ?|La Suède|2|adultes aines
Quel compositeur autrichien fut un enfant prodige ?|Mozart|2|ados adultes aines
Quel compositeur allemand est devenu sourd ?|Beethoven|2|ados adultes aines
Qui a composé Les Quatre Saisons ?|Vivaldi|2|ados adultes aines
Quel chanteur est surnommé le King ?|Elvis Presley|1|adultes aines
Qui est surnommé le roi de la pop ?|Michael Jackson|1|ados adultes aines
Quelle chanteuse québécoise a chanté pour Titanic ?|Céline Dion|1|ados adultes aines
Quel instrument a inventé Adolphe Sax ?|Le saxophone|1|ados adultes aines
Quel instrument a 47 cordes et se joue assis ?|La harpe|2|ados adultes aines
Quel gros instrument à vent en cuivre fait les sons graves ?|Le tuba|1|enfants ados adultes aines
# Les castagnettes et le cajón accompagnent aussi le flamenco.
Quel instrument accompagne le flamenco ?|La guitare|1|ados adultes aines
> Quel instrument à cordes pincées accompagne le flamenco ?|La guitare
Quel instrument écossais fonctionne avec un sac d'air ?|La cornemuse|1|enfants ados adultes aines
Comment s'appelle un groupe de quatre musiciens ?|Un quatuor|1|ados adultes aines
# La pause, la demi-pause et le demi-soupir sont aussi des silences.
Quel signe musical indique le silence ?|Le soupir|2|ados adultes aines
> Comment nomme-t-on, en musique, un silence qui dure un temps ?|Le soupir
Sur combien de lignes écrit-on la musique ?|Cinq|2|ados adultes aines
Quelle note vient après le fa ?|Le sol|1|enfants ados adultes aines
Quel style musical vient de la Jamaïque ?|Le reggae|1|ados adultes aines
Quel chanteur jamaïcain a popularisé le reggae ?|Bob Marley|1|ados adultes aines
Quel style musical est né à la Nouvelle-Orléans ?|Le jazz|2|ados adultes aines
Quelle diva a chanté My Heart Will Go On ?|Céline Dion|1|ados adultes aines
Quel groupe britannique a chanté Bohemian Rhapsody ?|Queen|2|ados adultes aines
Qui était le chanteur de Queen ?|Freddie Mercury|2|ados adultes aines
Quel groupe australien a chanté Highway to Hell ?|AC/DC|2|adultes aines
Quelle chanteuse a chanté Like a Virgin ?|Madonna|2|adultes aines
Quel chanteur aveugle joue du piano depuis l'enfance ?|Stevie Wonder|2|adultes aines
Quel instrument principal joue un batteur ?|La batterie|1|enfants ados adultes aines
Comment nomme-t-on une chanson sans instruments ?|A cappella|1|ados adultes aines
# La comédie musicale et l'opérette répondaient aussi bien.
Quel spectacle mêle chant, orchestre et théâtre ?|L'opéra|1|ados adultes aines
> Quel spectacle italien fait chanter toute l'histoire, sans dialogues parlés ?|L'opéra
Quelle voix masculine est la plus grave ?|La basse|1|ados adultes aines
Quelle voix féminine est la plus aiguë ?|La soprano|2|ados adultes aines
Qui dirige un orchestre ?|Le chef d'orchestre|1|enfants ados adultes aines
Quel objet le chef d'orchestre tient-il ?|La baguette|1|enfants ados adultes aines
Quel groupe suédois a chanté Dancing Queen ?|ABBA|1|adultes aines
Quel rappeur américain a joué dans 8 Mile ?|Eminem|2|ados adultes
Quel compositeur russe a écrit Casse-Noisette ?|Tchaïkovski|3|adultes aines
# Réponse dans la question.
Quel ballet met en scène des cygnes ?|Le Lac des cygnes|1|ados adultes aines
> Quel ballet de Tchaïkovski met en scène une princesse changée en oiseau blanc ?|Le Lac des cygnes
Quel opéra de Bizet se déroule en Espagne ?|Carmen|3|adultes aines
À quelle famille d'instruments appartient la trompette ?|Les cuivres|2|ados adultes aines
À quelle famille d'instruments appartient le violon ?|Les cordes|1|enfants ados adultes aines
À quelle famille d'instruments appartient la flûte ?|Les bois|3|adultes aines
Quel petit instrument à quatre cordes vient d'Hawaï ?|Le ukulélé|1|enfants ados adultes aines
Quel instrument à soufflet accompagne le tango ?|Le bandonéon|3|adultes aines
Quel Beatle a chanté Imagine en solo ?|John Lennon|2|adultes aines
Quel Beatle gaucher jouait de la basse ?|Paul McCartney|2|adultes aines
Quel groupe de Seattle a popularisé le grunge ?|Nirvana|2|adultes aines
Quel chanteur menait Nirvana ?|Kurt Cobain|2|adultes aines
Quel groupe irlandais est mené par Bono ?|U2|2|adultes aines
Quel groupe britannique a chanté Viva la Vida ?|Coldplay|2|ados adultes
Quel duo français portait des casques de robots ?|Daft Punk|2|ados adultes
Quelle chanteuse est surnommée la Reine de la soul ?|Aretha Franklin|2|adultes aines
Quel crooner a chanté My Way ?|Frank Sinatra|2|aines
Quelle famille d'instruments frappe-t-on ?|Les percussions|1|enfants ados adultes aines
Combien de cordes a un violoncelle ?|Quatre|3|adultes aines
Quel gros instrument à cordes se joue debout ?|La contrebasse|1|ados adultes aines
Quel instrument d'église a des tuyaux ?|L'orgue|1|enfants ados adultes aines
Quelle indication musicale signifie jouer fort ?|Forte|2|ados adultes aines
Quelle indication musicale signifie jouer doucement ?|Piano|2|ados adultes aines
Comment nomme-t-on la vitesse d'un morceau ?|Le tempo|1|ados adultes aines
Quel appareil à pendule bat la mesure ?|Le métronome|2|ados adultes aines
# Ambigu : la mezzo-soprano est aussi entre les deux.
Quelle voix féminine se situe entre soprano et ténor ?|L'alto|3|adultes aines
> Quelle est la voix féminine la plus grave ?|L'alto (contralto)
Quelle danse glissée a rendu célèbre Michael Jackson ?|Le moonwalk|1|ados adultes aines
Quel festival célèbre a eu lieu en 1969 près de New York ?|Woodstock|2|adultes aines
Quelle plateforme suédoise diffuse de la musique en continu ?|Spotify|1|enfants ados adultes
Quel prix récompense la musique aux États-Unis ?|Le Grammy|1|ados adultes aines
Quel gala récompense la musique québécoise ?|L'ADISQ|1|ados adultes aines
Quel groupe québécois chante Toune d'automne ?|Cowboys Fringants|2|ados adultes aines
Quel chanteur québécois a chanté Lindberg avec Louise Forestier ?|Robert Charlebois|2|adultes aines
Quel groupe québécois a chanté La complainte du phoque en Alaska ?|Beau Dommage|2|adultes aines
Quel groupe progressif québécois a fait L'Heptade ?|Harmonium|3|aines
