# Catégorie : Bouffe et cuisine
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Quel petit fruit rouge à noyau couronne un sundae ?|La cerise|1
Quel petit fruit bleu garnit les muffins et les tartes au Québec ?|Le bleuet|1
Quel aliment blanc, fait de lait, mange-t-on avec des fruits au déjeuner ?|Le yogourt|1
Comment appelle-t-on la boîte où l'on met son repas pour l'école ?|La boîte à lunch|1
Quel petit légume vert et rond roule dans l'assiette ?|Le petit pois|1
Quel fruit rond porte le nom de sa couleur ?|L'orange|1
Quel dessert glacé mange-t-on en cornet l'été ?|La crème glacée|1
Quelles galettes du déjeuner arrose-t-on de sirop d'érable ?|Les crêpes|1
Quels biscuits noirs à la crème blanche trempe-t-on dans le lait ?|Les Oreo|1
Quel animal est Tony, la mascotte des céréales Frosted Flakes ?|Un tigre|1
Quel légume en feuilles vertes est la base d'une salade ?|La laitue|1
Quel jus boit-on le plus souvent au déjeuner ?|Le jus d'orange|1
Quelle chaîne canadienne vend du café, des beignes et des Timbits ?|Tim Hortons|1
Quel fruit orange à peau veloutée cache un gros noyau ?|La pêche|1
Quel aliment ovale pondu par la poule mange-t-on brouillé ?|L'œuf|1
Quelle pâte italienne en petits tubes courbés se mange au fromage ?|Le macaroni|1
Quel plat de pâtes au fromage orange en boîte est célèbre au Canada ?|Le Kraft Dinner|1
Quelle épice noire moulue accompagne le sel sur la table ?|Le poivre|1
Quel légume vert et allongé croque-t-on en salade et transforme-t-on en cornichon ?|Le concombre|1
Quel dessert coloré tremble dans son bol et se prépare avec de la poudre ?|Le Jell-O|1
Quelles tranches de pommes de terre frites et salées se vendent en sac ?|Les croustilles|1
Quelle collation salée et croquante a la forme d'un nœud ?|Le bretzel|1
Quel aliment blanc en grains sucre le café et les gâteaux ?|Le sucre|1
Quel biscuit rond et plat est parsemé de pépites de chocolat ?|Le biscuit aux pépites de chocolat|1
