# Catégorie : Musique
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Dans « Au clair de la lune », à quel ami demande-t-on de prêter sa plume ?|Pierrot|1
Dans la comptine, de quelle couleur est la souris qui courait dans l'herbe ?|Verte|1
Dans « 1, 2, 3, nous irons au bois », que va-t-on cueillir ?|Des cerises|1
Quel instrument a des touches noires et blanches ?|Le piano|1
Quel petit instrument à vent se souffle avec la bouche dans le blues et le folk ?|L'harmonica|1
Quel petit instrument à vent apprend-on à jouer à l'école primaire ?|La flûte à bec|1
Comment appelle-t-on un groupe de personnes qui chantent ensemble ?|Une chorale|1
Quel objet tient le chanteur pour que sa voix porte dans toute la salle ?|Le micro|1
Quel chant de Noël fait « Vive le vent, vive le vent d'hiver » ?|Vive le vent|1
Quel chant de Noël demande de descendre du ciel avec des jouets par milliers ?|Petit papa Noël|1
Quelle danse se pratique en tutu et sur la pointe des pieds ?|Le ballet|1
Quelle danse des années 90 se fait en groupe, bras tendus, avec un quart de tour à la fin ?|La Macarena|1
Quelle chanson enfantine parle d'un petit navire qui n'avait jamais navigué ?|Il était un petit navire|1
Dans « Alouette, gentille alouette », quelle partie plume-t-on en premier ?|La tête|1
Dans « Savez-vous planter les choux », avec quoi les plante-t-on en premier ?|Le doigt|1
Sur quel pont danse-t-on tous en rond dans la chanson ?|Le pont d'Avignon|1
Comment appelle-t-on la personne qui écrit la musique d'une chanson ?|Le compositeur|1
Comment appelle-t-on les mots d'une chanson ?|Les paroles|1
Comment appelle-t-on la partie d'une chanson qui revient entre les couplets ?|Le refrain|1
Quel instrument rempli de graines produit un son quand on le secoue ?|Les maracas|1
Quel instrument de métal en forme de triangle frappe-t-on avec une tige ?|Le triangle|1
Quel instrument à lamelles de bois frappe-t-on avec des maillets ?|Le xylophone|1
Quel instrument à cordes et à long manche donne son son à la musique country ?|Le banjo|1
Quel instrument à soufflet et à touches anime les fêtes de famille ?|L'accordéon|1
Quel hymne national chante-t-on avant les matchs de hockey au Canada ?|Ô Canada|1
Quelle chanson de Queen fait taper des pieds et des mains sur « We will, we will... » ?|We Will Rock You|1
Quelle chanson de Noël raconte l'histoire d'un petit renne au nez rouge ?|Le petit renne au nez rouge|1
Combien de musiciens jouent dans un duo ?|Deux|1
Que fait le public avec ses mains à la fin d'un spectacle ?|Il applaudit|1
Quel instrument à grosses cordes et à long manche joue les notes graves dans un groupe rock ?|La basse|1
Quel instrument en cuivre déplié mesure près de trois mètres et se joue avec une coulisse ?|Le trombone|1
Dans quelle comptine un fermier a-t-il des animaux qui font chacun leur cri ?|Dans la ferme de Mathurin|1
