# Cinema et tele, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Qui est le père de Luke Skywalker ?|Dark Vador|1
Quel extraterrestre veut téléphoner à la maison ?|E.T.|1
Comment s'appelle le lionceau du Roi Lion ?|Simba|1
Quel type de poisson est Nemo ?|Un poisson-clown|1
Quelle créature verte vit dans un marais ?|Shrek|1
Comment s'appelle l'école de Harry Potter ?|Poudlard|1
Comment s'appelle la chouette de Harry Potter ?|Hedwige|1
Quel est le matricule de James Bond ?|007|1
Dans quelle ville vit Batman ?|Gotham|1
De quelle planète vient Superman ?|Krypton|1
Quelle substance affaiblit Superman ?|La kryptonite|1
Quel héros a été piqué par une araignée ?|Spider-Man|1
Qui a créé Mickey Mouse ?|Walt Disney|1
Dans quelle ville vivent les Simpson ?|Springfield|1
De quelle couleur sont les Simpson ?|Jaunes|1
Quels sont les deux héros de Toy Story ?|Woody et Buzz|1
Quelle reine a des pouvoirs de glace chez Disney ?|Elsa|1
Quel acteur muet portait un chapeau melon et une canne ?|Charlie Chaplin|2
Quel acteur joue Jack dans Titanic ?|Leonardo DiCaprio|1
Quels animaux revivent dans Jurassic Park ?|Les dinosaures|1
Quel archéologue porte un fouet et un chapeau ?|Indiana Jones|1
De quelle couleur sont les habitants de Pandora ?|Bleus|1
Quel boxeur de cinéma monte les marches de Philadelphie ?|Rocky|2
Comment s'appelle la statuette du cinéma américain ?|L'Oscar|1
Dans quelle ville se trouve Hollywood ?|Los Angeles|1
Comment s'appelle le cinéma de l'Inde ?|Bollywood|2
Quel ogre a un ami âne très bavard ?|Shrek|1
Quel pirate est joué par Johnny Depp ?|Jack Sparrow|1
Quel magicien gris guide la Communauté de l'anneau ?|Gandalf|1
Quelle voiture voyage dans le temps dans Retour vers le futur ?|La DeLorean|2
Quel jouet cowboy appartient à Andy ?|Woody|1
Quel personnage vert déteste Noël ?|Le Grincheux|1
Quel requin a terrorisé les plages en 1975 ?|Les Dents de la mer|2
Quel robot dit Hasta la vista, baby ?|Terminator|2
# Erreur dans la source (c'est un rat), et doublon avec la question sur Rémy plus bas.
Quelle souris cuisine dans Ratatouille ?|Rémy (un rat)|1
> Dans quel film Pixar un rat devient-il chef cuisinier à Paris ?|Ratatouille
Quel héros devient vert quand il se fâche ?|Hulk|1
Quel milliardaire porte une armure rouge et or ?|Iron Man|1
Quel dieu nordique manie un marteau chez Marvel ?|Thor|1
Comment s'appelle le bonhomme de neige de La Reine des neiges ?|Olaf|1
Quelle émission jeunesse québécoise a Passe-Montagne ?|Passe-Partout|1
Quel poisson bleu perd la mémoire dans Nemo ?|Dory|1
Quel patrouilleur de l'espace dit Vers l'infini et plus loin ?|Buzz|1
Quelle famille de super-héros Pixar porte du rouge ?|Les Incroyables|1
Quel monstre bleu et poilu travaille avec Mike ?|Sulley|1
Dans quel film Pixar une maison vole-t-elle avec des ballons ?|Là-haut|1
Quelles petites créatures jaunes adorent les bananes ?|Les Minions|1
Quel méchant des Minions veut voler la Lune ?|Gru|1
Quel panda pratique le kung-fu au cinéma ?|Po|1
Quel dragon noir accompagne Harold ?|Krokmou|1
Quelle princesse Disney a de très longs cheveux magiques ?|Raiponce|1
Quelle sirène Disney rêve de vivre sur terre ?|Ariel|1
Quelle princesse perd sa pantoufle de verre ?|Cendrillon|1
Comment se nomme la Belle au bois dormant chez Disney ?|Aurore|2
Dans quel conte Disney une rose est-elle sous cloche ?|La Belle et la Bête|1
Quelle nounou anglaise vole avec un parapluie ?|Mary Poppins|1
Quel garçon ne veut jamais grandir ?|Peter Pan|1
Quelle fée accompagne Peter Pan ?|Clochette|1
Quel pirate est l'ennemi juré de Peter Pan ?|Capitaine Crochet|1
Quelle série suit six amis dans un café new-yorkais ?|Friends|1
Comment s'appelle le café de Friends ?|Central Perk|2
Quelle série fantastique a des dragons et un trône de fer ?|Game of Thrones|1
Quelle série espagnole suit des braqueurs en combinaison rouge ?|La casa de papel|2
Quel vaisseau pilote Han Solo ?|Faucon Millénium|1
Quel petit robot rond accompagne C-3PO ?|R2-D2|1
Quelle arme lumineuse utilisent les Jedi ?|Le sabre laser|1
Quel petit maître Jedi vert parle à l'envers ?|Yoda|1
Quel hobbit doit détruire l'anneau unique ?|Frodon|1
Quelle créature de Tolkien dit mon précieux ?|Gollum|1
Quel mage noir est l'ennemi de Harry Potter ?|Voldemort|1
Quel sport sorcier se joue sur des balais ?|Le quidditch|1
Quel acteur incarne Iron Man au cinéma ?|Robert Downey Jr|2
Quelle émission québécoise du jour de l'An revoit l'année ?|Bye Bye|1
Quelle marionnette verte du Muppet Show anime le spectacle ?|Kermit|1
Quel canard milliardaire plonge dans ses pièces d'or ?|Picsou|1
Quel marin devient fort en mangeant des épinards ?|Popeye|1
Quel chat orange déteste les lundis et adore la lasagne ?|Garfield|1
Quel grand danois froussard résout des mystères ?|Scooby-Doo|1
Quel film de 1939 suit Dorothy sur une route jaune ?|Magicien d'Oz|1
Quel chien accompagne Dorothy dans le Magicien d'Oz ?|Toto|2
Quel réalisateur a fait E.T. et Jurassic Park ?|Spielberg|2
Quel réalisateur canadien a fait Titanic et Avatar ?|James Cameron|2
Quel réalisateur a fait Psychose et Les Oiseaux ?|Hitchcock|2
Quel film de Disney suit un éléphant aux grandes oreilles ?|Dumbo|1
Quel faon Disney perd sa mère dans la forêt ?|Bambi|1
Quelle chienne partage un spaghetti avec un clochard ?|Lady|1
Quel film Disney suit 101 chiens tachés ?|Les 101 Dalmatiens|1
Quelle méchante veut un manteau en dalmatiens ?|Cruella|1
Quel ours du Livre de la jungle chante Il en faut peu ?|Baloo|1
Quel garçon est élevé par les loups dans la jungle ?|Mowgli|1
Quelle panthère noire protège Mowgli ?|Bagheera|1
Quel roi lion est le père de Simba ?|Mufasa|1
Quel oncle jaloux trahit Mufasa ?|Scar|1
Quel phacochère accompagne Timon ?|Pumbaa|1
Que veut dire Hakuna Matata ?|Pas de souci|1
Quelle princesse Disney vit avec sept nains ?|Blanche-Neige|1
Quel objet empoisonné croque Blanche-Neige ?|Une pomme|1
Quelle princesse amérindienne chante L'air du vent ?|Pocahontas|1
Quelle héroïne chinoise se déguise en soldat ?|Mulan|1
Quelle princesse polynésienne navigue avec Maui ?|Moana|1
Quelle princesse Disney se transforme en grenouille ?|Tiana|2
Quel cowboy jouet a un serpent dans sa botte ?|Woody|1
Quel dinosaure vert craintif vit dans Toy Story ?|Rex|1
Quel poisson-clown cherche son fils dans l'océan ?|Marin|1
Quel rat cuisine dans un grand restaurant parisien ?|Rémy|1
Quel robot nettoyeur tombe amoureux d'EVE ?|WALL-E|1
Quel film Pixar se passe dans la tête de Riley ?|Sans dessus dessous|1
Quel film Pixar suit une voiture de course rouge ?|Les Bagnoles|1
Comment s'appelle la voiture de course des Bagnoles ?|Flash McQueen|1
Quelle dépanneuse rouillée est l'amie de Flash McQueen ?|Mater|1
Quelle suite de Nemo suit la mémoire de Dory ?|Trouver Doris|1
Quel escargot de course devient ultra rapide au cinéma ?|Turbo|2
Quel ogre vert a une femme nommée Fiona ?|Shrek|1
Quel animal est l'Âne dans Shrek ?|Un âne|1
Quel chat botté a de grands yeux attendrissants ?|Chat Potté|1
Quel duo formaient Claude Meunier et Serge Thériault ?|Ding et Dong|2
Quelle télésérie québécoise raconte Séraphin Poudrier ?|Les Belles Histoires|2
Quel avare célèbre du terroir québécois aime son argent ?|Séraphin|1
Quel roman de Roger Lemelin suit une famille de Québec ?|Les Plouffe|3
Quelle émission québécoise a des fauteuils qui pivotent ?|La Voix|1
Quel animateur québécois a longtemps animé Tout le monde en parle ?|Guy A. Lepage|1
Quel groupe québécois a parodié les années 80 à la télé ?|RBO|2
Quelle télésérie québécoise suit des détenues ?|Unité 9|1
Quelle série animée québécoise suit un garçon chauve de 4 ans ?|Caillou|1
Quelle télésérie québécoise suit une équipe de hockey de garage ?|Les Boys|1
Quel duo de La Petite Vie dort debout ?|Popa et Moman|1
Quel personnage jeunesse parlait à sa marionnette Bobinette ?|Bobino|2
Quel clown poète québécois avait un complice nommé Gobelet ?|Sol|2
Quelle émission fait courir des duos autour du monde ?|Amazing Race|1
Quel jeu télévisé fait tourner une grande roue ?|La Roue de fortune|1
Quel jeu télévisé québécois offrait des valises à ouvrir ?|Le Banquier|1
Quelle animatrice québécoise animait Le Banquier ?|Julie Snyder|1
Quelle série américaine suit un bureau de vente de papier ?|The Office|1
Quelle série suit la famille royale anglaise ?|The Crown|2
Quelle série coréenne met en scène des jeux mortels ?|Squid Game|1
Quelle série de science-fiction se passe à Hawkins ?|Stranger Things|1
Quel monstre menace les enfants de Stranger Things ?|Le Démogorgon|2
Quelle série suit un professeur de chimie nommé Walter White ?|Breaking Bad|1
Quel jeune partenaire aide Walter White ?|Jesse Pinkman|2
Quelle sitcom suit des physiciens et leur voisine Penny ?|Big Bang Theory|1
Quel mot répète Sheldon en cognant à la porte ?|Penny|1
Quelle série animée suit une famille jaune de Springfield ?|Les Simpson|1
Comment s'appelle le père des Simpson ?|Homer|1
Quelle exclamation lance Homer Simpson ?|D'oh|1
Comment s'appelle le voisin trop gentil des Simpson ?|Ned Flanders|1
Quelle série animée suit Stewie et Peter Griffin ?|Family Guy|2
Quel père de famille travaille dans une centrale nucléaire ?|Homer Simpson|1
Quelle éponge jaune vit dans un ananas sous la mer ?|Bob l'éponge|1
Quel ami étoile de mer accompagne Bob l'éponge ?|Patrick|1
Quel garçon a une casquette rouge et chasse des Pokémon ?|Sacha|1
Quel Pokémon jaune lance des éclairs ?|Pikachu|1
Quel chat robot bleu vient du futur ?|Doraemon|3
Quelle famille préhistorique conduit une voiture à pédales ?|Les Pierrafeu|1
Comment s'appelle le meilleur ami de Fred Caillou ?|Arthur Laroche|2
Quelle famille du futur a un robot ménagère nommée Rosie ?|Les Jetson|2
