# Catégorie : Sciences et nature
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Quelles sont les deux couleurs du zèbre ?|Noir et blanc|1
Quel animal a une trompe ?|L'éléphant|1
Quel animal saute et transporte son bébé dans une poche ?|Le kangourou|1
Quel animal construit des barrages dans les rivières ?|Le castor|1
Quel gros animal brun dort tout l'hiver dans sa tanière ?|L'ours|1
Quel reptile porte une carapace sur son dos ?|La tortue|1
Quel petit animal à coquille rampe lentement en laissant une trace ?|L'escargot|1
Quel insecte rouge à points noirs porte bonheur ?|La coccinelle|1
Quel insecte brille dans la nuit d'été ?|La luciole|1
Quel liquide rouge circule dans nos veines ?|Le sang|1
Quels organes nous permettent de voir ?|Les yeux|1
Quels organes nous permettent d'entendre ?|Les oreilles|1
Quel gaz de l'air respirons-nous pour vivre ?|L'oxygène|1
Combien d'orteils avons-nous en tout ?|Dix|1
Quel astre change de forme dans le ciel au fil des nuits ?|La Lune|1
Quel phénomène dessine sept couleurs dans le ciel après la pluie ?|L'arc-en-ciel|1
Quelle saison vient après l'hiver ?|Le printemps|1
En quelle saison les feuilles des arbres tombent-elles ?|L'automne|1
Que devient l'eau quand elle gèle ?|De la glace|1
De quoi sont faites les dunes du désert ?|De sable|1
De quel arbre tire-t-on le sirop d'érable ?|L'érable|1
Quelle fleur jaune devient une boule de duvet qu'on souffle ?|Le pissenlit|1
Quelle plante piquante pousse dans le désert ?|Le cactus|1
Quel dinosaure carnivore géant, aux petits bras, est le plus célèbre ?|Le tyrannosaure|1
Sur quelle planète habitons-nous ?|La Terre|1
Combien de pattes a un oiseau ?|Deux|1
Quel animal marin géant souffle un jet d'eau par le dos ?|La baleine|1
Quel animal à longues oreilles adore les carottes ?|Le lapin|1
Quel animal rampe sans pattes ?|Le serpent|1
Quel oiseau répète ce qu'on lui dit ?|Le perroquet|1
Quel grand félin a des rayures orange et noires ?|Le tigre|1
Quel grand oiseau rose se tient souvent sur une seule patte ?|Le flamant rose|1
Quel métal les aimants attirent-ils ?|Le fer|1
Quel animal à huit pattes tisse une toile ?|L'araignée|1
Quel gros animal gris d'Afrique porte une corne sur le nez ?|Le rhinocéros|1
Quel animal noir et blanc dégage une odeur terrible quand il a peur ?|La mouffette|1
Quel petit animal rayé remplit ses joues de noix ?|Le tamia (suisse)|1
Quel oiseau au long cou noir migre en formant un V dans le ciel ?|La bernache (outarde)|1
Quel animal produit les œufs qu'on mange au déjeuner ?|La poule|1
Quel animal de la ferme nous donne le lait ?|La vache|1
