# Quebec, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quelle est la capitale nationale du Québec ?|Québec|1
Quel fleuve traverse le Québec ?|Le Saint-Laurent|1
Quelle est la devise du Québec ?|Je me souviens|1
Qui a fondé la ville de Québec en 1608 ?|Champlain|1
Qui a planté une croix à Gaspé en 1534 ?|Jacques Cartier|2
Quel est l'oiseau emblème du Québec ?|Harfang des neiges|2
Quelle est la fleur emblème du Québec ?|Iris versicolore|3
Quel est l'arbre emblème du Québec ?|Le bouleau jaune|3
Qui est la mascotte du Carnaval de Québec ?|Bonhomme Carnaval|1
Quel plat québécois combine frites, fromage et sauce ?|La poutine|1
Quel sirop est une spécialité du Québec ?|Le sirop d'érable|1
Où fabrique-t-on le sirop d'érable ?|À la cabane à sucre|1
Quel pâté à la viande mange-t-on dans le temps des fêtes ?|La tourtière|1
Quelle date est la Fête nationale du Québec ?|Le 24 juin|1
Quel hockeyeur était surnommé le Rocket ?|Maurice Richard|1
Quelle équipe de hockey joue au Centre Bell ?|Les Canadiens|1
Quelle exposition universelle a eu lieu à Montréal ?|Expo 67|1
En quelle année le métro de Montréal a-t-il ouvert ?|1966|3
# Ambigu : Jos Montferrand est légendaire aussi.
Quel homme fort québécois est devenu légendaire ?|Louis Cyr|2
> Quel homme fort québécois du 19e siècle est réputé le plus fort de l'histoire ?|Louis Cyr
Quel rocher troué est l'emblème de la Gaspésie ?|Le rocher Percé|1
Quelle chanson de Vigneault sert d'hymne populaire ?|Gens du pays|1
Quel poète a chanté Le P'tit Bonheur ?|Félix Leclerc|2
Quelle société d'État produit l'électricité au Québec ?|Hydro-Québec|1
Dans quelle ville est née Céline Dion ?|Charlemagne|2
Quel premier ministre a fondé le Parti québécois ?|René Lévesque|2
Quel parc d'attractions se trouve à Montréal ?|La Ronde|1
Quelle île au milieu du Saint-Laurent est célèbre pour ses produits ?|Île d'Orléans|1
Quelle station de ski célèbre est dans les Laurentides ?|Tremblant|1
Quel film culte parle d'une guerre de balles de neige ?|La Guerre des tuques|1
Quel cirque québécois est connu mondialement ?|Cirque du Soleil|1
Qui a composé la musique de l'hymne O Canada ?|Calixa Lavallée|3
Combien de fleurs de lys sur le drapeau du Québec ?|Quatre|1
De quelle couleur est le drapeau du Québec ?|Bleu et blanc|1
# Ambigu : le pont Pierre-Laporte relie aussi Québec et Lévis.
Quel pont célèbre relie Québec et Lévis ?|Le pont de Québec|2
> Quel pont cantilever centenaire relie Québec et Lévis ?|Le pont de Québec
Quelle région québécoise est surnommée le Royaume ?|Saguenay|2
Quel festival d'humour a lieu à Montréal ?|Juste pour rire|1
Quelle viande fumée est associée à Montréal ?|Le smoked meat|1
Quel quartier historique de Québec est fortifié ?|Le Vieux-Québec|1
Quel chanteur québécois a chanté Le Blues du businessman ?|Claude Dubois|2
Quelle ville québécoise est surnommée la ville aux cent clochers ?|Montréal|2
Quelle rue commerciale célèbre traverse Montréal ?|Sainte-Catherine|1
Quel grand marché public borde la Petite Italie ?|Jean-Talon|1
Quel stade montréalais a un mât incliné ?|Stade olympique|1
Quel surnom anglophone donne-t-on au Stade olympique ?|Le Big O|2
Quel hôtel célèbre domine le Vieux-Québec ?|Château Frontenac|1
Quelles chutes près de Québec sont plus hautes que Niagara ?|Montmorency|1
Quel lac des Cantons-de-l'Est cacherait un monstre ?|Memphrémagog|2
Quelle région est la capitale du bleuet ?|Lac-Saint-Jean|1
Quelle tourte de viandes vient du Lac-Saint-Jean ?|Le cipaille|2
Quelle soupe jaune est un classique québécois ?|Soupe aux pois|1
Quelle tarte très sucrée est un classique québécois ?|Tarte au sucre|1
Quel lard frit croustillant sert-on à la cabane ?|Oreilles de crisse|1
Quelle boisson gazeuse traditionnelle vient de l'épinette ?|Bière d'épinette|1
Quel parc montréalais fut dessiné par Frederick Olmsted ?|Le mont Royal|2
Quel symbole lumineux surplombe le mont Royal ?|La croix|1
Quel pont relie Montréal à Longueuil ?|Jacques-Cartier|1
Quelle équipe de soccer professionnelle joue à Montréal ?|CF Montréal|1
Quelle équipe de football joue à Montréal ?|Les Alouettes|1
Quel trophée remporte le champion de la LCF ?|La coupe Grey|1
Quel humoriste québécois a créé le personnage de Sol ?|Marc Favreau|2
Quel dramaturge québécois a écrit Les Belles-Sœurs ?|Michel Tremblay|2
Quelle émission culte met en scène Popa et Moman ?|La Petite Vie|1
Quelle émission satirique anime Jean-René Dufort ?|Infoman|1
Quel film de Denys Arcand a gagné un Oscar ?|Invasions barbares|2
Quel réalisateur québécois a tourné Dune ?|Denis Villeneuve|2
Quel style musical a son grand festival à Montréal en juillet ?|Le jazz|1
Quelle embarcation traverse le fleuve gelé au Carnaval ?|Le canot|1
Quelle université francophone montréalaise est la plus grande ?|UdeM|2
Quel fromage frais grince sous la dent ?|Fromage en grains|1
Quel mot québécois désigne une petite amie ?|Une blonde|1
Quel mot québécois désigne un épi de maïs ?|Un blé d'Inde|1
Quel mammifère marin blanc remonte le Saguenay ?|Le béluga|1
Quelle île gaspésienne abrite des fous de Bassan ?|Bonaventure|2
Quel barrage géant porte le numéro 5 sur la Manicouagan ?|Manic-5|2
Quel mot québécois désigne des chaussures de sport ?|Des espadrilles|1
Quel comédien incarne Elvis Gratton ?|Julien Poulin|2
Quel tunnel relie Montréal et la Rive-Sud ?|Louis-H.-La Fontaine|1
Combien de régions administratives compte le Québec ?|17|3
Quelle région québécoise est la plus au nord ?|Nord-du-Québec|2
Quelle ville est la capitale de l'Outaouais ?|Gatineau|1
Quelle ville québécoise est célèbre pour son festival western ?|Saint-Tite|1
Quelle ville de la Mauricie est à mi-chemin Québec-Montréal ?|Trois-Rivières|1
Quelle ville se proclame capitale mondiale de l'érable ?|Plessisville|3
Quelle ville de l'Estrie abrite l'Université Bishop's ?|Sherbrooke|2
Quelle route ceinture la péninsule gaspésienne ?|La 132|2
Quelle péninsule québécoise s'avance dans le golfe ?|La Gaspésie|1
Quelles îles québécoises sont au milieu du golfe ?|Îles de la Madeleine|1
Quel fjord spectaculaire abrite des bélugas ?|Fjord du Saguenay|1
Quel lac immense borde Roberval et Alma ?|Lac Saint-Jean|1
Quelle île montréalaise accueille La Ronde ?|Île Sainte-Hélène|1
Quel circuit de F1 se trouve sur l'île Notre-Dame ?|Gilles-Villeneuve|1
Quel dôme géodésique brille sur l'île Sainte-Hélène ?|La Biosphère|1
Quel musée montréalais borde la rue Sherbrooke ouest ?|Beaux-arts|2
Quel quartier montréalais a une porte paifang ?|Quartier chinois|1
Quelle basilique du Vieux-Montréal a un plafond bleu étoilé ?|Notre-Dame|1
Quel oratoire montréalais fut fondé par le frère André ?|Saint-Joseph|1
Quel frère québécois guérisseur est devenu saint ?|Frère André|1
# Ambigu : le Vieux-Québec a plusieurs côtes qui cassent les mollets. On vise un lieu unique.
Quelle côte célèbre du Vieux-Québec casse les mollets ?|Côte de la Montagne|3
> Quel escalier du Vieux-Québec porte un nom qui promet une chute ?|L'escalier Casse-Cou
Quelle rue étroite du Vieux-Québec est très photographiée ?|Petit-Champlain|1
Quelles plaines célèbres bordent le Vieux-Québec ?|Plaines d'Abraham|1
Quel hébergement québécois est rebâti chaque hiver ?|Hôtel de glace|1
Dans quelle ville l'aquarium présente-t-il des ours blancs ?|Québec|1
Quel zoo québécois est dédié à la faune nordique ?|Saint-Félicien|1
Quel village québécois reconstitue la vie de 1900 ?|Val-Jalbert|2
Quelle chanson de Félix Leclerc célèbre une île ?|Le tour de l'île|2
Quel mont de l'Estrie abrite un observatoire célèbre ?|Le mont Mégantic|2
Quel parc national québécois protège des caribous ?|La Gaspésie|2
Quelle station de ski domine le fleuve dans Charlevoix ?|Le Massif|2
Quelle région québécoise occupe un cratère de météorite ?|Charlevoix|3
Quelle station de ski domine Stoneham et Québec ?|Mont-Sainte-Anne|2
Quel premier ministre québécois a lancé la Révolution tranquille ?|Jean Lesage|2
Quel premier ministre québécois fut surnommé le Cheuf ?|Duplessis|2
Quelle période sombre est associée à Duplessis ?|La Grande Noirceur|2
Quel premier ministre a tenu le référendum de 1980 ?|René Lévesque|1
Combien de référendums sur la souveraineté a connus le Québec ?|Deux|1
En quelle année eut lieu le second référendum ?|1995|1
Quel premier ministre libéral a gouverné de 2003 à 2012 ?|Jean Charest|2
Quel parti a fondé François Legault ?|La CAQ|1
Quelle loi québécoise protège la langue française ?|La loi 101|1
Quel organisme veille sur la langue française au Québec ?|L'OQLF|1
Quel mois de 1970 a connu l'enlèvement de Pierre Laporte ?|Octobre|1
Quel drapeau québécois fut adopté en 1948 ?|Le fleurdelisé|1
Quelle fête du 1er juillet fait déménager les Québécois ?|Jour du déménagement|1
Quelle rôtisserie québécoise est célèbre pour son poulet BBQ ?|St-Hubert|1
Quelle chaîne québécoise sert de la poutine 24 heures ?|La Belle Province|1
Quel restaurant montréalais est célèbre pour son smoked meat ?|Schwartz|1
Comment nomme-t-on un hot-dog cuit à la vapeur au Québec ?|Un steamé|1
Quelle cabane à sucre célèbre appartient à un chef renommé ?|Au Pied de Cochon|2
Quel cidre québécois est pressé après les gelées ?|Cidre de glace|1
Quelle baie nordique québécoise parfume gins et confitures ?|La chicoutai|3
Quelle boisson alcoolisée réchauffe le Carnaval de Québec ?|Le caribou|1
Quel chansonnier a écrit Quand les hommes vivront d'amour ?|Raymond Lévesque|3
Quel chanteur québécois a chanté Deux par deux rassemblés ?|Pierre Lapointe|2
Quel groupe québécois a chanté Dehors novembre ?|Les Colocs|2
Quel chanteur des Colocs est une légende ?|Dédé Fortin|2
Quel chanteur québécois a chanté La désise ?|Daniel Boucher|2
Quelle chanteuse rock québécoise a chanté Provocante ?|Marjo|2
Quel animateur québécois a animé La Poule aux œufs d'or ?|Guy Mongrain|2
Quel gala québécois récompense la télévision ?|Les Gémeaux|1
Quel gala québécois récompense le cinéma ?|Les Iris|2
Quel humoriste montréalais fait des spectacles bilingues ?|Sugar Sammy|1
Quel joueur des Canadiens fut surnommé le Démon blond ?|Guy Lafleur|1
Quel joueur des Canadiens fut surnommé le Gros Bill ?|Jean Béliveau|2
Quel gardien des Canadiens a porté le premier masque ?|Jacques Plante|2
Quelle émeute de 1955 porte le nom d'un joueur ?|Émeute Richard|2
Quel joueur québécois des Penguins était surnommé le Magnifique ?|Mario Lemieux|1
Quel capitaine des Canadiens a soulevé la coupe en 1993 ?|Guy Carbonneau|2
Quel entraîneur légendaire des Canadiens s'appelait Scotty ?|Scotty Bowman|2
Quelle fête hivernale illumine le Vieux-Port de Montréal ?|Igloofest|1
Quel bonnet d'hiver porte un nom bien québécois ?|La tuque|1
Quel mot québécois désigne le vélo ?|Un bicycle|1
Quel mot québécois désigne la voiture ?|Un char|1
Quel mot québécois désigne les moustiques ?|Les maringouins|1
Quel mot québécois désigne une tempête de neige ?|Une bordée|1
Comment nomme-t-on la période des sucres ?|Le temps des sucres|1
Quel outil racle la neige des pare-brise ?|Un gratteux|1
# « Bouchon » est le mot de France ; ici on est pris dans le trafic.
Quel mot québécois désigne un embouteillage ?|Un bouchon|2
> Quel mot québécois, emprunté à l'anglais, désigne un embouteillage ?|Le trafic
Quelle expression québécoise signifie c'est correct ?|C'est beau|1
Quel animal emblème figure sur les armoiries de Montréal ?|Le castor|2
Quelle fleur figure sur le drapeau de Montréal ?|Fleur de lys|2
Quel arbre fut ajouté au drapeau de Montréal en 2017 ?|Le pin blanc|3
Quel papillon est l'insecte emblème du Québec ?|L'amiral|3
Quel explorateur a hiverné à Stadaconé en 1535 ?|Jacques Cartier|2
Comment s'appelait le village iroquois devenu Québec ?|Stadaconé|2
Comment s'appelait le village iroquois devenu Montréal ?|Hochelaga|1
Quelle compagnie de fourrures rivalisait avec la Baie d'Hudson ?|Nord-Ouest|3
Quels canots géants transportaient les fourrures ?|Canots de maître|3
Comment appelait-on les traiteurs de fourrures en forêt ?|Coureurs des bois|1
Quelle légende québécoise fait voler un canot ?|La chasse-galerie|1
Quelle jeune fille a dansé avec le diable dans la légende ?|Rose Latulippe|2
Quelle créature légendaire fait peur aux enfants ?|Bonhomme Sept-Heures|1
De quel village vient le conteur Fred Pellerin ?|Saint-Élie-de-Caxton|2
Quelle série de romans suit Émilie Bordeleau ?|Les Filles de Caleb|1
Quelle auteure a écrit Les Filles de Caleb ?|Arlette Cousture|2
Quel roman de Gabrielle Roy se passe à Saint-Henri ?|Bonheur d'occasion|3
Quel poète québécois a écrit L'homme rapaillé ?|Gaston Miron|3
Quel personnage de BD de Rabagliati raconte le Québec ?|Paul|2
En quelle année Montréal a-t-elle été fondée ?|1642|2
Comment s'appelle le parlement du Québec ?|Assemblée nationale|1
Combien de députés siègent à l'Assemblée nationale ?|125|2
Quel nouveau pont montréalais a ouvert en 2019 ?|Samuel-De Champlain|1
Quel marché public borde le canal de Lachine ?|Atwater|1
Comment surnomme-t-on la fête du 24 juin ?|La Saint-Jean|1
Combien de ponts mènent à l'île d'Orléans ?|Un seul|1
Quelle université montréalaise fut fondée en 1821 ?|McGill|2
Quel ancien vélodrome de Montréal abrite des animaux ?|Le Biodôme|1
Quel jardin montréalais est parmi les plus grands au monde ?|Jardin botanique|1
Quelles montagnes russes en bois de La Ronde sont célèbres ?|Le Monstre|1
Quelle station de métro montréalaise dessert trois lignes ?|Berri-UQAM|1
Combien de lignes compte le métro de Montréal ?|Quatre|1
Quelle chaîne de dépanneurs québécoise a un hibou ?|Couche-Tard|1
Quel Québécois a inventé la motoneige ?|J.-A. Bombardier|1
Quel village de la Côte-Nord est réputé pour les baleines ?|Tadoussac|1
Quel est le plus grand cervidé du Québec ?|L'orignal|1
Quel petit poisson pêche-t-on sous la glace à La Pérade ?|Le poulamon|2
Quelle crise de janvier 1998 a privé le Québec de courant ?|Le verglas|1
Quelle nation autochtone vit à Wendake près de Québec ?|Les Hurons-Wendat|2
Quel auteur québécois a écrit Le Matou ?|Yves Beauchemin|3
Quel poète québécois a écrit Le Vaisseau d'or ?|Émile Nelligan|2
Quelle île du Saint-Laurent fut une station de quarantaine ?|Grosse-Île|2
