# Histoire, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
En quelle année Colomb a-t-il atteint l'Amérique ?|1492|2
En quelle année l'homme a-t-il marché sur la Lune ?|1969|2
Qui fut le premier homme sur la Lune ?|Neil Armstrong|1
En quelle année le Titanic a-t-il coulé ?|1912|2
En quelle année le mur de Berlin est-il tombé ?|1989|2
En quelle année a débuté la Révolution française ?|1789|2
En quelle année a débuté la Première Guerre mondiale ?|1914|2
En quelle année a pris fin la Seconde Guerre mondiale ?|1945|2
Sur quelles plages a eu lieu le débarquement de 1944 ?|La Normandie|2
Quel général romain a été assassiné en -44 ?|Jules César|2
Quelle reine d'Égypte a séduit César et Antoine ?|Cléopâtre|2
Où Napoléon a-t-il subi sa dernière défaite ?|Waterloo|2
Quel peuple scandinave naviguait sur des drakkars ?|Les Vikings|1
Qui a inventé l'imprimerie en Europe ?|Gutenberg|2
Quel président sud-africain fut libéré en 1990 ?|Nelson Mandela|2
Quel leader pacifiste a libéré l'Inde ?|Gandhi|2
En quelle année a eu lieu la Confédération canadienne ?|1867|2
Qui a couru le Marathon de l'espoir en 1980 ?|Terry Fox|2
Quels monuments abritent les pharaons d'Égypte ?|Les pyramides|1
Dans quel amphithéâtre combattaient les gladiateurs ?|Le Colisée|1
Quel explorateur vénitien a décrit la Chine ?|Marco Polo|2
Qui a traversé l'Atlantique en avion solo en 1927 ?|Lindbergh|3
Quel jour célèbre-t-on l'Armistice de 1918 ?|Le 11 novembre|1
Quel tombeau égyptien fut découvert en 1922 ?|Toutankhamon|2
Quelle femme a reçu deux prix Nobel ?|Marie Curie|2
Quel physicien a formulé E=mc2 ?|Einstein|1
Quel navire insubmersible a coulé en 1912 ?|Le Titanic|1
Quelle guerre a opposé le Nord et le Sud américains ?|Guerre de Sécession|2
Quel roi de France fut surnommé le Roi-Soleil ?|Louis XIV|2
Quelle jeune fille a mené les armées françaises en 1429 ?|Jeanne d'Arc|2
Quel empire avait Rome pour capitale ?|L'Empire romain|1
Quel président américain fut assassiné en 1963 ?|Kennedy|2
Quel pasteur américain a dit 'I have a dream' ?|Martin Luther King|2
Quelle épidémie a ravagé l'Europe au 14e siècle ?|La peste noire|2
Quel savant grec a crié 'Eurêka' dans son bain ?|Archimède|2
Quelle cité antique a été détruite par le Vésuve ?|Pompéi|2
Quel conflit a duré de 1939 à 1945 ?|2e Guerre mondiale|1
Quelle muraille célèbre protège la Chine ?|La Grande Muraille|1
Quel explorateur portugais a contourné l'Afrique en 1498 ?|Vasco de Gama|3
Quel premier ministre a rapatrié la Constitution en 1982 ?|Pierre E. Trudeau|2
Quel navigateur a mené la première expédition autour du monde ?|Magellan|2
Quel conquérant macédonien atteignit l'Inde ?|Alexandre le Grand|2
Dans quel pays vivaient les samouraïs ?|Le Japon|1
Quel peuple a construit le Machu Picchu ?|Les Incas|2
Quel peuple a construit Chichén Itzá ?|Les Mayas|2
Quel empire d'Amérique a été conquis par Cortés ?|Les Aztèques|3
Quel peuple antique a inventé l'écriture cunéiforme ?|Les Sumériens|3
Quel héros grec avait un talon vulnérable ?|Achille|1
En quelle année le Canada a-t-il adopté son drapeau actuel ?|1965|3
Qui fut la première femme première ministre du Canada ?|Kim Campbell|3
En quelle année les Canadiennes ont-elles voté au fédéral ?|1918|3
Quel bateau amena les pèlerins en Amérique en 1620 ?|Le Mayflower|2
Quelle révolution a renversé le tsar en 1917 ?|La révolution russe|2
Qui était le dernier tsar de Russie ?|Nicolas II|3
Quel premier ministre britannique fumait le cigare pendant la guerre ?|Churchill|2
Quel général français a lancé l'appel du 18 juin 1940 ?|De Gaulle|2
Quelle bombe a frappé Hiroshima en 1945 ?|La bombe atomique|1
Quels deux blocs s'opposaient durant la guerre froide ?|USA et URSS|2
Quel astronaute canadien a chanté dans l'espace ?|Chris Hadfield|2
Quelle station spatiale russe a précédé l'ISS ?|Mir|3
Quel président américain a aboli l'esclavage ?|Lincoln|2
Qui a refusé de céder sa place dans un autobus en 1955 ?|Rosa Parks|2
Quelle princesse anglaise est morte à Paris en 1997 ?|Diana|1
Quelle reine a régné 70 ans sur le Royaume-Uni ?|Elizabeth II|1
Quel roi anglais a eu six épouses ?|Henri VIII|2
Pour quelle exposition la tour Eiffel fut-elle construite ?|Expo de 1889|3
Quel canal relie la Méditerranée à la mer Rouge ?|Suez|2
Quelle grande bibliothèque antique a brûlé ?|Alexandrie|2
Quel navigateur a donné son prénom à l'Amérique ?|Amerigo Vespucci|2
En quelle année eut lieu la bataille des plaines d'Abraham ?|1759|2
Qui a remporté la bataille des plaines d'Abraham ?|Les Britanniques|1
Quel mur antique protégeait l'Angleterre romaine ?|Mur d'Hadrien|3
Quel animal fut le premier en orbite ?|La chienne Laïka|2
Qui fut le premier homme dans l'espace ?|Youri Gagarine|2
Qui fut la première femme dans l'espace ?|Valentina Terechkova|3
Quelle mission a posé les premiers hommes sur la Lune ?|Apollo 11|1
Quel fut le premier satellite artificiel ?|Spoutnik|2
Quel télescope spatial a été lancé en 1990 ?|Hubble|2
Quelle pyramide d'Égypte est la plus grande ?|Khéops|2
Quelle statue égyptienne a un corps de lion ?|Le Sphinx|1
Sur quelle plante les Égyptiens écrivaient-ils ?|Le papyrus|1
Comment s'appelle l'écriture des Égyptiens ?|Les hiéroglyphes|1
Qui a déchiffré les hiéroglyphes ?|Champollion|3
Quelle pierre a permis de déchiffrer les hiéroglyphes ?|Pierre de Rosette|3
Quelle cité grecque était célèbre pour ses guerriers ?|Sparte|2
Quelle bataille grecque a donné son nom à une course ?|Marathon|2
Dans quelle ville se tenaient les Jeux olympiques antiques ?|Olympie|2
Quel philosophe grec fut condamné à boire la ciguë ?|Socrate|2
Quel philosophe fut l'élève de Socrate ?|Platon|2
Dans quelle ville est née la démocratie ?|Athènes|2
Quel animal a allaité Romulus et Rémus ?|Une louve|2
Quel fleuve César a-t-il franchi en disant le sort en est jeté ?|Le Rubicon|3
Où se tenaient les courses de chars à Rome ?|Le Circus Maximus|3
Quel chef des Huns a terrorisé l'Europe ?|Attila|2
Quel empereur fut couronné à Rome en l'an 800 ?|Charlemagne|2
Quelle bataille de 1066 a livré l'Angleterre aux Normands ?|Hastings|3
Autour de quelle table siégeaient les chevaliers d'Arthur ?|La Table ronde|1
Quelles expéditions religieuses visaient Jérusalem ?|Les croisades|2
Quel ordre de moines soldats gardait les pèlerins ?|Les Templiers|2
Quel chef mongol a fondé un immense empire ?|Gengis Khan|2
Dans quelle ville Jeanne d'Arc fut-elle brûlée ?|Rouen|3
Quelle guerre opposa France et Angleterre pendant 116 ans ?|Guerre de Cent Ans|2
Quel astronome a placé le Soleil au centre de l'univers ?|Copernic|2
Quel savant italien a braqué une lunette vers le ciel ?|Galilée|2
Quel moine a affiché 95 thèses en 1517 ?|Luther|3
Quel château fut la résidence de Louis XIV ?|Versailles|1
Quelle reine de France fut guillotinée en 1793 ?|Marie-Antoinette|2
Quelle prison parisienne fut prise le 14 juillet 1789 ?|La Bastille|2
Sur quelle île Napoléon est-il mort ?|Sainte-Hélène|3
Quelle fut la première île d'exil de Napoléon ?|L'île d'Elbe|3
Quel territoire Napoléon a-t-il vendu aux États-Unis ?|La Louisiane|2
Quel amiral anglais a gagné Trafalgar ?|Nelson|3
En quelle année eut lieu la bataille de Waterloo ?|1815|3
Quelle infirmière célèbre soignait pendant la guerre de Crimée ?|Florence Nightingale|3
Sur quel navire Darwin a-t-il navigué ?|Le Beagle|3
Quel code de points et de traits date de 1838 ?|Le morse|1
Quel constructeur a lancé la Ford T ?|Henry Ford|1
Quels frères ont inventé le cinématographe ?|Les frères Lumière|2
# Contesté : Tesla et Popov ont leurs partisans. On demande le titre reçu, pas la primauté.
