# Catégorie : Culture générale
# Emoji : 💡
# Firmware : 0
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Combien de côtés a un hexagone ?|Six|1|enfants ados adultes aines
Combien de jours dans une année bissextile ?|366|1|enfants ados adultes aines
Combien de couleurs dans un arc-en-ciel ?|Sept|1|enfants ados adultes aines
Combien de cartes dans un jeu standard sans jokers ?|52|1|enfants ados adultes aines
Combien de cases sur un échiquier ?|64|2|ados adultes aines
Quelle pièce d'échecs ne peut jamais reculer ?|Le pion|2|ados adultes aines
Combien de lettres dans l'alphabet français ?|26|1|enfants ados adultes aines
Combien de sens possède l'être humain ?|Cinq|1|enfants ados adultes aines
Combien d'années dans un siècle ?|100|1|enfants ados adultes aines
Combien d'années dans un millénaire ?|1000|1|enfants ados adultes aines
Combien d'unités dans une douzaine ?|Douze|1|enfants ados adultes aines
Quelle est la valeur approximative de pi ?|3,14|2|ados adultes aines
Combien de côtés a un triangle ?|Trois|1|enfants ados adultes aines
Combien de zéros dans un million ?|Six|1|enfants ados adultes aines
Qui a inventé le téléphone ?|Graham Bell|2|ados adultes aines
Qui a inventé l'ampoule électrique ?|Thomas Edison|2|ados adultes aines
Quels frères ont inventé l'avion ?|Les frères Wright|2|ados adultes aines
Qui a inventé la dynamite ?|Alfred Nobel|2|ados adultes aines
# La réponse était dans la question. Reformulée pour qu'il reste à trouver.
Quel prix célèbre porte le nom d'Alfred Nobel ?|Le prix Nobel|2|ados adultes aines
> Quel prix récompense chaque année la paix, la médecine et la littérature ?|Le prix Nobel
Où est exposée la Joconde ?|Au Louvre|2|ados adultes aines
Qui a peint la Joconde ?|Léonard de Vinci|1|enfants ados adultes aines
Quel peintre s'est coupé une oreille ?|Van Gogh|2|adultes aines
Qui a peint Guernica ?|Picasso|2|adultes aines
De quel pays viennent les blocs Lego ?|Le Danemark|2|ados adultes aines
De quelle couleur sont les Schtroumpfs ?|Bleus|1|enfants ados adultes aines
Quel reporter a un chien nommé Milou ?|Tintin|1|ados adultes aines
Quel Gaulois est l'ami d'Obélix ?|Astérix|1|ados adultes aines
Combien de dalmatiens dans le film de Disney ?|101|1|enfants ados adultes aines
# « Mayday » est tout aussi juste pour un signal de détresse international.
# Le morse ne laisse plus qu'une réponse. (Et « signal/signale » se répétait.)
Quel signal international signale une détresse ?|SOS|1|ados adultes aines
> Quelles trois lettres forment le signal de détresse en morse ?|SOS
Quel numéro d'urgence compose-t-on en Amérique du Nord ?|911|1|ados adultes aines
Quelle direction indique l'aiguille d'une boussole ?|Le nord|1|enfants ados adultes aines
Quel jeu consiste à placer les chiffres 1 à 9 ?|Le sudoku|1|ados adultes aines
# Boggle, les mots croisés et Lettres et chiffres répondaient aussi bien.
# « Mot compte triple » n'existe qu'au Scrabble.
Dans quel jeu forme-t-on des mots avec des lettres ?|Le Scrabble|1|enfants ados adultes aines
> Dans quel jeu place-t-on des jetons-lettres sur un plateau, avec des cases « mot compte triple » ?|Le Scrabble
Quel art japonais consiste à plier du papier ?|L'origami|1|enfants ados adultes aines
Pays d'origine du yoga ?|L'Inde|2|ados adultes aines
Combien font les faces opposées d'un dé ?|Sept|2|ados adultes aines
Monnaie du Japon ?|Le yen|2|ados adultes aines
Quel métal est liquide à température ambiante ?|Le mercure|2|ados adultes aines
Combien de dents possède un adulte en général ?|32|2|ados adultes aines
Quel est le livre le plus vendu au monde ?|La Bible|2|ados adultes aines
Combien de faces a un cube ?|Six|1|enfants ados adultes aines
# Ambigu : bien du monde a appris quatre océans à l'école.
Combien d'océans sur Terre ?|Cinq|2|ados adultes aines
> Combien d'océans compte-t-on aujourd'hui, en incluant l'océan Austral ?|Cinq
Combien de mois ont 31 jours ?|Sept|2|ados adultes aines
Quel est le plus petit nombre premier ?|Deux|2|ados adultes aines
Combien de millimètres dans un centimètre ?|Dix|1|enfants ados adultes aines
Combien de grammes dans un kilogramme ?|1000|1|enfants ados adultes aines
Quel instrument mesure la température ?|Le thermomètre|1|enfants ados adultes aines
Combien de roues a un tricycle ?|Trois|1|enfants ados adultes aines
Quel oiseau figure sur la pièce de un dollar canadien ?|Le huard|1|enfants ados adultes aines
Quel animal figure sur la pièce de 5 cents canadienne ?|Le castor|1|enfants ados adultes aines
Qui a écrit Les Misérables ?|Victor Hugo|2|adultes aines
Qui a écrit Roméo et Juliette ?|Shakespeare|2|adultes aines
Qui a écrit Le Petit Prince ?|Saint-Exupéry|2|ados adultes aines
Quel auteur a créé Sherlock Holmes ?|Conan Doyle|2|adultes aines
Combien d'étoiles sur le drapeau américain ?|50|1|enfants ados adultes aines
- Politique américaine : symbole national.
Combien de bandes sur le drapeau américain ?|13|2|ados adultes aines
- Politique américaine : symbole national.
De quelle couleur est la boîte noire d'un avion ?|Orange|2|ados adultes aines
Quelle pierre précieuse est rouge ?|Le rubis|1|ados adultes aines
Quelle pierre précieuse est verte ?|L'émeraude|1|ados adultes aines
De quel côté de la route conduit-on au Royaume-Uni ?|À gauche|1|ados adultes aines
# « Lustre » pour cinq ans n'a aucun usage ici. Ce n'est pas une question
# difficile, c'est une question sans répondant possible dans la salle.
Combien d'années dure un lustre ?|Cinq|3|adultes aines
- Mot sans usage au Québec : personne ne peut répondre.
Quel philosophe grec fut le maître d'Alexandre ?|Aristote|3|adultes aines
Aux échecs, combien de dames au départ par joueur ?|Une|1|ados adultes aines
Combien de lettres dans l'alphabet grec ?|24|3|adultes aines
Monnaie utilisée en Europe ?|L'euro|1|ados adultes aines
Monnaie utilisée au Royaume-Uni ?|Livre sterling|1|ados adultes aines
Combien font XII en chiffres romains ?|Douze|1|ados adultes aines
Combien font L en chiffres romains ?|50|2|ados adultes aines
