# Catégorie : Mots et langue
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Quel est le contraire de grand ?|Petit|1
Quel est le contraire de chaud ?|Froid|1
Quel est le contraire de jour ?|Nuit|1
Quel est le contraire de haut ?|Bas|1
Quel est le contraire de toujours ?|Jamais|1
Quel est le féminin de chien ?|Chienne|1
Quel est le féminin de lion ?|Lionne|1
Quel est le féminin de prince ?|Princesse|1
Comment appelle-t-on le mâle de la vache, celui qui charge dans l'arène ?|Le taureau|1
Comment s'appelle le petit du canard ?|Le caneton|1
Comment s'appelle le petit du cochon ?|Le porcelet|1
Comment s'appelle le petit de l'éléphant ?|L'éléphanteau|1
Comment s'appelle le petit du lion ?|Le lionceau|1
Quel est le cri du chat ?|Le miaulement|1
Quel est le cri du chien ?|L'aboiement|1
Quel animal de la ferme caquette ?|La poule|1
Quel animal rugit ?|Le lion|1
Quelle lettre vient après le M dans l'alphabet ?|N|1
Comment appelle-t-on une personne qui parle deux langues ?|Bilingue|1
Comment appelle-t-on celui qui écrit des poèmes ?|Un poète|1
Comment appelle-t-on celui qui joue un rôle dans un film ?|Un acteur|1
Comment appelle-t-on celui qui dessine les plans des maisons ?|Un architecte|1
Comment appelle-t-on celui qui fabrique des gâteaux ?|Le pâtissier|1
Comment appelle-t-on celui qui coupe les cheveux ?|Le coiffeur|1
Comment appelle-t-on la personne qui soigne les malades à l'hôpital avec le médecin ?|L'infirmière|1
Comment appelle-t-on la personne qui enseigne dans une classe ?|L'enseignant|1
Que signifie « avoir une faim de loup » ?|Avoir très faim|1
Que signifie « être rouge comme une tomate » ?|Être gêné|1
Que signifie « dormir comme une marmotte » ?|Dormir profondément|1
Que signifie « être têtu comme une mule » ?|Être très têtu|1
Que signifie « avoir une mémoire d'éléphant » ?|Avoir une très bonne mémoire|1
Comment dit-on « merci » en anglais ?|Thank you|1
Comment dit-on « bonjour » en anglais ?|Hello|1
Comment dit-on « oui » en espagnol ?|Sí|1
Comment dit-on « merci » en espagnol ?|Gracias|1
Comment dit-on « merci » en italien ?|Grazie|1
Quel signe de ponctuation termine une phrase ordinaire ?|Le point|1
Combien de syllabes compte le mot « chocolat » ?|Trois|1
Quel est le pluriel de « un animal » ?|Des animaux|1
Comment appelle-t-on une histoire de fées, de princes et de sorcières ?|Un conte|1
Comment appelle-t-on le livre qui explique le sens des mots ?|Un dictionnaire|1
Quel mot commençant par J veut dire « très content » ?|Joyeux|1
