# Mots et langue, accentuee. Meme ordre que Questions.cpp.
Pluriel de cheval ?|Chevaux
Pluriel de bijou ?|Bijoux
Comment nomme-t-on un mot lisible dans les deux sens ?|Un palindrome
Citez un palindrome de cinq lettres qui flotte.|Kayak
Quelle est la lettre la plus utilisée en français ?|Le E
Combien de voyelles dans l'alphabet français ?|Six
Que veut dire SVP ?|S'il vous plaît
Comment nomme-t-on un mot imitant un son ?|Une onomatopée
Comment nomme-t-on un mot de sens contraire ?|Un antonyme
Comment nomme-t-on un mot de même sens ?|Un synonyme
Que signifie donner sa langue au chat ?|Renoncer à deviner
Que signifie avoir un chat dans la gorge ?|Être enroué
Que signifie poser un lapin ?|Ne pas venir
Que signifie avoir un coup de foudre ?|Tomber amoureux
Que signifie être dans la lune ?|Être distrait
Contraire de généreux, commençant par A ?|Avare
Féminin de acteur ?|Actrice
Sous quelle lettre place-t-on la cédille ?|Le C
Quel accent a la forme d'un chapeau ?|Le circonflexe
Comment nomme-t-on une personne parlant plusieurs langues ?|Un polyglotte
Comment nomme-t-on un mot formé des lettres d'un autre ?|Une anagramme
Que signifie mettre la charrue devant les bœufs ?|Aller trop vite
Que signifie casser du sucre sur le dos ?|Dire du mal
Contraire de rapide ?|Lent
Pluriel de travail ?|Travaux
Pluriel de œil ?|Yeux
Combien de lettres dans le mot anticonstitutionnellement ?|25
Que signifie filer à l'anglaise ?|Partir discrètement
Comment nomme-t-on l'étude des mots ?|La lexicologie
Quel signe termine une question ?|Interrogation
Quel signe exprime la surprise ?|Point d'exclamation
Comment nomme-t-on le signe formé de trois points ?|Points de suspension
Que signifie tomber dans les pommes ?|S'évanouir
Que signifie coûter les yeux de la tête ?|Coûter très cher
Contraire de courageux, en cinq lettres ?|Lâche
Féminin de loup ?|Louve
Petit de la vache ?|Le veau
Comment nomme-t-on celui qui écrit des romans ?|Un romancier
Que veut dire être soupe au lait ?|Se fâcher vite
Pluriel de hibou ?|Hiboux
Pluriel de caillou ?|Cailloux
Pluriel de festival ?|Festivals
Pluriel de madame ?|Mesdames
Féminin de héros ?|Héroïne
Féminin d'empereur ?|Impératrice
Quel est le mâle de la brebis ?|Le bélier
Petit du cheval ?|Le poulain
Petit du sanglier ?|Le marcassin
Petit de la chèvre ?|Le chevreau
Petit du cerf ?|Le faon
Petit du lapin ?|Le lapereau
Petit de l'ours ?|L'ourson
Petit de l'aigle ?|L'aiglon
Quel est le cri du coq ?|Cocorico
Quel est le cri de la vache ?|Le meuglement
Quel est le cri du loup ?|Le hurlement
Quel est le cri du serpent ?|Le sifflement
Quel est le cri du cochon ?|Le grognement
Quel est le cri de la grenouille ?|Le coassement
Quel est le cri du corbeau ?|Le croassement
Comment nomme-t-on la femelle du canard ?|La cane
Comment nomme-t-on la femelle du jars ?|L'oie
Comment nomme-t-on la femelle du cerf ?|La biche
Comment nomme-t-on la femelle du singe ?|La guenon
Comment nomme-t-on la peur des araignées ?|L'arachnophobie
Comment nomme-t-on la peur des hauteurs ?|L'acrophobie
Comment nomme-t-on la peur des espaces clos ?|La claustrophobie
Comment nomme-t-on celui qui collectionne les timbres ?|Un philatéliste
Comment nomme-t-on celui qui étudie les oiseaux ?|Un ornithologue
Comment nomme-t-on le médecin des animaux ?|Le vétérinaire
Que signifie avoir le cœur sur la main ?|Être généreux
