# Catégorie : Géographie
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Sur quel continent se trouve le Canada ?|L'Amérique du Nord|1
Quel pays se trouve juste au sud du Canada ?|Les États-Unis|1
Quel pays se trouve juste au nord des États-Unis ?|Le Canada|1
Dans quelle province se trouve Montréal ?|Le Québec|1
Quel océan traverse-t-on en avion pour aller du Canada à la France ?|L'Atlantique|1
Dans quel pays se trouve la ville de New York ?|Les États-Unis|1
Quelle langue parle-t-on aux États-Unis ?|L'anglais|1
Quel pays est célèbre pour ses tacos et ses sombreros ?|Le Mexique|1
Sur quel continent se trouve le désert du Sahara ?|L'Afrique|1
Quel pays d'Europe est célèbre pour ses montres, son chocolat et ses Alpes ?|La Suisse|1
Quel point le plus au nord de la Terre est le domicile du père Noël ?|Le pôle Nord|1
Quel objet en forme de boule qui tourne montre tous les pays du monde ?|Le globe terrestre|1
Comment appelle-t-on un dessin qui représente un pays ou une ville vus d'en haut ?|Une carte|1
Quelle est la plus grande ville du Québec ?|Montréal|1
Quel État américain chaud accueille Disney World ?|La Floride|1
Quelle province canadienne est voisine du Québec, à l'ouest ?|L'Ontario|1
Quelle province canadienne est voisine du Québec, à l'est, avec Fredericton pour capitale ?|Le Nouveau-Brunswick|1
De quel côté se lève le soleil ?|À l'est|1
De quel côté se couche le soleil ?|À l'ouest|1
Quel pays d'Europe est célèbre pour ses moulins à vent et ses tulipes ?|Les Pays-Bas|1
Dans quel pays se trouve Londres ?|L'Angleterre|1
Dans quel pays se tient le grand carnaval de Rio ?|Le Brésil|1
Quelle grande ville américaine abrite la statue de la Liberté ?|New York|1
Quel pays a un drapeau bleu, blanc et rouge à trois bandes verticales ?|La France|1
Combien y a-t-il de pôles sur la Terre ?|Deux|1
Quelle étendue d'eau salée immense sépare les continents ?|L'océan|1
