# Musique, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Combien de notes dans la gamme de do majeur ?|Sept|1
Combien de touches sur un piano standard ?|88|2
Combien de cordes sur un violon ?|Quatre|2
Combien de cordes sur une guitare classique ?|Six|1
De quelle ville viennent les Beatles ?|Liverpool|2
Combien de membres comptaient les Beatles ?|Quatre|1
Pays d'origine du groupe ABBA ?|La Suède|2
Quel compositeur autrichien fut un enfant prodige ?|Mozart|2
Quel compositeur allemand est devenu sourd ?|Beethoven|2
Qui a composé Les Quatre Saisons ?|Vivaldi|2
Quel chanteur est surnommé le King ?|Elvis Presley|1
Qui est surnommé le roi de la pop ?|Michael Jackson|1
Quelle chanteuse québécoise a chanté pour Titanic ?|Céline Dion|1
Quel instrument a inventé Adolphe Sax ?|Le saxophone|1
Quel instrument a 47 cordes et se joue assis ?|La harpe|2
Quel gros instrument à vent en cuivre fait les sons graves ?|Le tuba|1
Quel instrument accompagne le flamenco ?|La guitare|1
Quel instrument écossais fonctionne avec un sac d'air ?|La cornemuse|1
Comment s'appelle un groupe de quatre musiciens ?|Un quatuor|1
Quel signe musical indique le silence ?|Le soupir|2
Sur combien de lignes écrit-on la musique ?|Cinq|2
Quelle note vient après le fa ?|Le sol|1
Quel style musical vient de la Jamaïque ?|Le reggae|1
Quel chanteur jamaïcain a popularisé le reggae ?|Bob Marley|1
Quel style musical est né à la Nouvelle-Orléans ?|Le jazz|2
Quelle diva a chanté My Heart Will Go On ?|Céline Dion|1
Quel groupe britannique a chanté Bohemian Rhapsody ?|Queen|2
Qui était le chanteur de Queen ?|Freddie Mercury|2
Quel groupe australien a chanté Highway to Hell ?|AC/DC|2
Quelle chanteuse a chanté Like a Virgin ?|Madonna|2
Quel chanteur aveugle joue du piano depuis l'enfance ?|Stevie Wonder|2
Quel instrument principal joue un batteur ?|La batterie|1
Comment nomme-t-on une chanson sans instruments ?|A cappella|1
Quel spectacle mêle chant, orchestre et théâtre ?|L'opéra|1
Quelle voix masculine est la plus grave ?|La basse|1
Quelle voix féminine est la plus aiguë ?|La soprano|2
Qui dirige un orchestre ?|Le chef d'orchestre|1
Quel objet le chef d'orchestre tient-il ?|La baguette|1
Quel groupe suédois a chanté Dancing Queen ?|ABBA|1
Quel rappeur américain a joué dans 8 Mile ?|Eminem|2
Quel compositeur russe a écrit Casse-Noisette ?|Tchaïkovski|3
Quel ballet met en scène des cygnes ?|Le Lac des cygnes|1
Quel opéra de Bizet se déroule en Espagne ?|Carmen|3
À quelle famille d'instruments appartient la trompette ?|Les cuivres|2
À quelle famille d'instruments appartient le violon ?|Les cordes|1
À quelle famille d'instruments appartient la flûte ?|Les bois|3
Quel petit instrument à quatre cordes vient d'Hawaï ?|Le ukulélé|1
Quel instrument à soufflet accompagne le tango ?|Le bandonéon|3
Quel Beatle a chanté Imagine en solo ?|John Lennon|2
Quel Beatle gaucher jouait de la basse ?|Paul McCartney|2
Quel groupe de Seattle a popularisé le grunge ?|Nirvana|2
Quel chanteur menait Nirvana ?|Kurt Cobain|2
Quel groupe irlandais est mené par Bono ?|U2|2
Quel groupe britannique a chanté Viva la Vida ?|Coldplay|2
Quel duo français portait des casques de robots ?|Daft Punk|2
Quelle chanteuse est surnommée la Reine de la soul ?|Aretha Franklin|2
Quel crooner a chanté My Way ?|Frank Sinatra|2
