# Catégorie : Histoire
# Emoji : 🏛️
# Firmware : 1
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
En quelle année Colomb a-t-il atteint l'Amérique ?|1492|2|ados adultes aines
En quelle année l'homme a-t-il marché sur la Lune ?|1969|2|ados adultes aines
Qui fut le premier homme sur la Lune ?|Neil Armstrong|1|enfants ados adultes aines
En quelle année le Titanic a-t-il coulé ?|1912|2|ados adultes aines
En quelle année le mur de Berlin est-il tombé ?|1989|2|ados adultes aines
En quelle année a débuté la Révolution française ?|1789|2|ados adultes aines
En quelle année a débuté la Première Guerre mondiale ?|1914|2|ados adultes aines
En quelle année a pris fin la Seconde Guerre mondiale ?|1945|2|ados adultes aines
# « Quelles plages » appelait Omaha ou Juno ; la réponse est une région.
Sur quelles plages a eu lieu le débarquement de 1944 ?|La Normandie|2|ados adultes aines
> Dans quelle région de France a eu lieu le débarquement du 6 juin 1944 ?|La Normandie
Quel général romain a été assassiné en -44 ?|Jules César|2|ados adultes aines
Quelle reine d'Égypte a séduit César et Antoine ?|Cléopâtre|2|ados adultes aines
Où Napoléon a-t-il subi sa dernière défaite ?|Waterloo|2|ados adultes aines
Quel peuple scandinave naviguait sur des drakkars ?|Les Vikings|1|enfants ados adultes aines
Qui a inventé l'imprimerie en Europe ?|Gutenberg|2|ados adultes aines
Quel président sud-africain fut libéré en 1990 ?|Nelson Mandela|2|ados adultes aines
Quel leader pacifiste a libéré l'Inde ?|Gandhi|2|ados adultes aines
En quelle année a eu lieu la Confédération canadienne ?|1867|2|ados adultes aines
Qui a couru le Marathon de l'espoir en 1980 ?|Terry Fox|2|ados adultes aines
Quels monuments abritent les pharaons d'Égypte ?|Les pyramides|1|enfants ados adultes aines
Dans quel amphithéâtre combattaient les gladiateurs ?|Le Colisée|1|enfants ados adultes aines
Quel explorateur vénitien a décrit la Chine ?|Marco Polo|2|ados adultes aines
Qui a traversé l'Atlantique en avion solo en 1927 ?|Lindbergh|3|adultes aines
Quel jour célèbre-t-on l'Armistice de 1918 ?|Le 11 novembre|1|enfants ados adultes aines
Quel tombeau égyptien fut découvert en 1922 ?|Toutankhamon|2|ados adultes aines
Quelle femme a reçu deux prix Nobel ?|Marie Curie|2|ados adultes aines
Quel physicien a formulé E=mc2 ?|Einstein|1|enfants ados adultes aines
Quel navire insubmersible a coulé en 1912 ?|Le Titanic|1|enfants ados adultes aines
Quelle guerre a opposé le Nord et le Sud américains ?|Guerre de Sécession|2|ados adultes aines
- Politique américaine : guerre civile et esclavage.
Quel roi de France fut surnommé le Roi-Soleil ?|Louis XIV|2|ados adultes aines
Quelle jeune fille a mené les armées françaises en 1429 ?|Jeanne d'Arc|2|ados adultes aines
Quel empire avait Rome pour capitale ?|L'Empire romain|1|enfants ados adultes aines
Quel président américain fut assassiné en 1963 ?|Kennedy|2|ados adultes aines
- Politique américaine : président.
Quel pasteur américain a dit 'I have a dream' ?|Martin Luther King|2|ados adultes aines
- Politique américaine : lutte pour les droits civiques.
Quelle épidémie a ravagé l'Europe au 14e siècle ?|La peste noire|2|ados adultes aines
Quel savant grec a crié 'Eurêka' dans son bain ?|Archimède|2|ados adultes aines
Quelle cité antique a été détruite par le Vésuve ?|Pompéi|2|ados adultes aines
Quel conflit a duré de 1939 à 1945 ?|2e Guerre mondiale|1|ados adultes aines
Quelle muraille célèbre protège la Chine ?|La Grande Muraille|1|enfants ados adultes aines
Quel explorateur portugais a contourné l'Afrique en 1498 ?|Vasco de Gama|3|adultes aines
Quel premier ministre a rapatrié la Constitution en 1982 ?|Pierre E. Trudeau|2|adultes aines
Quel navigateur a mené la première expédition autour du monde ?|Magellan|2|ados adultes aines
Quel conquérant macédonien atteignit l'Inde ?|Alexandre le Grand|2|ados adultes aines
Dans quel pays vivaient les samouraïs ?|Le Japon|1|enfants ados adultes aines
Quel peuple a construit le Machu Picchu ?|Les Incas|2|ados adultes aines
Quel peuple a construit Chichén Itzá ?|Les Mayas|2|ados adultes aines
Quel empire d'Amérique a été conquis par Cortés ?|Les Aztèques|3|adultes aines
Quel peuple antique a inventé l'écriture cunéiforme ?|Les Sumériens|3|adultes aines
Quel héros grec avait un talon vulnérable ?|Achille|1|ados adultes aines
En quelle année le Canada a-t-il adopté son drapeau actuel ?|1965|3|adultes aines
