# Catégorie : Culture générale
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Combien de côtés a un carré ?|Quatre|1
Combien de jours dans une semaine ?|Sept|1
Combien de mois dans une année ?|Douze|1
Combien de doigts a-t-on sur une main ?|Cinq|1
Quelle couleur obtient-on en mélangeant du bleu et du jaune ?|Vert|1
Quelle couleur obtient-on en mélangeant du rouge et du blanc ?|Rose|1
Quelle couleur obtient-on en mélangeant du rouge et du jaune ?|Orange|1
Combien de minutes dans une heure ?|60|1
Combien de secondes dans une minute ?|60|1
Quel jour de la semaine vient après vendredi ?|Samedi|1
Quel mois vient après mars ?|Avril|1
Combien de saisons compte une année ?|Quatre|1
De quelle couleur est le feu de circulation qui dit d'arrêter ?|Rouge|1
Quel personnage distribue les cadeaux la nuit de Noël ?|Le père Noël|1
Qui laisse de l'argent sous l'oreiller en échange d'une dent ?|La fée des dents|1
Quel objet ouvre-t-on pour se protéger de la pluie ?|Un parapluie|1
Combien de roues a une bicyclette ?|Deux|1
Quel objet porté au poignet donne l'heure ?|Une montre|1
Que colle-t-on sur une enveloppe avant de la poster ?|Un timbre|1
Aux échecs, quelle pièce faut-il mettre échec et mat pour gagner ?|Le roi|1
Dans quel jeu de société grimpe-t-on des échelles et glisse-t-on sur des serpents ?|Serpents et échelles|1
Quel jouet tourne sur lui-même quand on le lance ?|La toupie|1
Quel jouet monte et descend au bout d'une ficelle ?|Le yo-yo|1
Quelle est la dernière lettre de l'alphabet ?|Z|1
Comment s'appelle la maison de brindilles que construit un oiseau ?|Un nid|1
Comment s'appelle une maison faite de blocs de neige ?|Un igloo|1
Comment s'appelle le bateau qui navigue sous l'eau ?|Un sous-marin|1
Quel véhicule vole grâce à une grande hélice sur le toit ?|L'hélicoptère|1
Quel véhicule roule sur des rails ?|Le train|1
Comment s'appelle la personne qui conduit un avion ?|Le pilote|1
Quel animal figure sur la pièce de 25 cents canadienne ?|Le caribou|1
Quel outil sert à planter un clou ?|Le marteau|1
Quel outil sert à visser une vis ?|Le tournevis|1
Comment surnomme-t-on la pièce canadienne de deux dollars ?|Le toonie|1
Combien de cents y a-t-il dans un dollar ?|100|1
Quelle fête célèbre-t-on au Canada le 1er juillet ?|La fête du Canada|1
Dans quel conte trois cochons construisent-ils des maisons de paille, de bois et de briques ?|Les Trois Petits Cochons|1
Dans quel conte un garçon grimpe-t-il le long d'un haricot géant ?|Jack et le haricot magique|1
Quelle fillette de conte entre chez trois ours et goûte leur gruau ?|Boucle d'or|1
Quel frère et quelle sœur de conte sèment des miettes de pain dans la forêt ?|Hansel et Gretel|1
Quel vilain petit oiseau de conte devient un beau cygne ?|Le vilain petit canard|1
Quel animal nous donne la laine ?|Le mouton|1
Que tisse l'araignée pour attraper les insectes ?|Une toile|1
Combien font deux plus deux ?|Quatre|1
Combien font dix fois dix ?|100|1
Quelle forme a une pièce de monnaie ?|Ronde|1
