# Catégorie : Québec
# Emoji : ⚜️
# Firmware : 7
#
# Les lignes qui suivent, jusqu'au séparateur, reflètent Questions.cpp
# LIGNE POUR LIGNE et dans le même ordre : le générateur vérifie que
# retirer leurs accents redonne la source du firmware au caractère près.
# Ne jamais en ajouter, en retirer ni en déplacer une seule.
#
# Après le séparateur, c'est libre : ces questions n'existent que dans
# l'application. Format identique des deux côtés :
#   Question|Réponse|niveau|tranches
#   > Question|Réponse     retouche la question du dessus
#   - motif                la retire du catalogue
Quelle est la capitale nationale du Québec ?|Québec|1|enfants ados adultes aines
Quel fleuve traverse le Québec ?|Le Saint-Laurent|1|enfants ados adultes aines
Quelle est la devise du Québec ?|Je me souviens|1|ados adultes aines
Qui a fondé la ville de Québec en 1608 ?|Champlain|1|enfants ados adultes aines
Qui a planté une croix à Gaspé en 1534 ?|Jacques Cartier|2|ados adultes aines
Quel est l'oiseau emblème du Québec ?|Harfang des neiges|2|ados adultes aines
Quelle est la fleur emblème du Québec ?|Iris versicolore|3|adultes aines
Quel est l'arbre emblème du Québec ?|Le bouleau jaune|3|adultes aines
Qui est la mascotte du Carnaval de Québec ?|Bonhomme Carnaval|1|enfants ados adultes aines
Quel plat québécois combine frites, fromage et sauce ?|La poutine|1|enfants ados adultes aines
Quel sirop est une spécialité du Québec ?|Le sirop d'érable|1|enfants ados adultes aines
Où fabrique-t-on le sirop d'érable ?|À la cabane à sucre|1|enfants ados adultes aines
Quel pâté à la viande mange-t-on dans le temps des fêtes ?|La tourtière|1|enfants ados adultes aines
Quelle date est la Fête nationale du Québec ?|Le 24 juin|1|enfants ados adultes aines
Quel hockeyeur était surnommé le Rocket ?|Maurice Richard|1|adultes aines
Quelle équipe de hockey joue au Centre Bell ?|Les Canadiens|1|enfants ados adultes aines
Quelle exposition universelle a eu lieu à Montréal ?|Expo 67|1|adultes aines
En quelle année le métro de Montréal a-t-il ouvert ?|1966|3|adultes aines
# Ambigu : Jos Montferrand est légendaire aussi.
Quel homme fort québécois est devenu légendaire ?|Louis Cyr|2|adultes aines
> Quel homme fort québécois du 19e siècle est réputé le plus fort de l'histoire ?|Louis Cyr
Quel rocher troué est l'emblème de la Gaspésie ?|Le rocher Percé|1|ados adultes aines
Quelle chanson de Vigneault sert d'hymne populaire ?|Gens du pays|1|adultes aines
Quel poète a chanté Le P'tit Bonheur ?|Félix Leclerc|2|adultes aines
Quelle société d'État produit l'électricité au Québec ?|Hydro-Québec|1|ados adultes aines
Dans quelle ville est née Céline Dion ?|Charlemagne|2|adultes aines
Quel premier ministre a fondé le Parti québécois ?|René Lévesque|2|adultes aines
Quel parc d'attractions se trouve à Montréal ?|La Ronde|1|enfants ados adultes aines
Quelle île au milieu du Saint-Laurent est célèbre pour ses produits ?|Île d'Orléans|1|ados adultes aines
Quelle station de ski célèbre est dans les Laurentides ?|Tremblant|1|enfants ados adultes aines
Quel film culte parle d'une guerre de balles de neige ?|La Guerre des tuques|1|adultes aines
Quel cirque québécois est connu mondialement ?|Cirque du Soleil|1|enfants ados adultes aines
Qui a composé la musique de l'hymne O Canada ?|Calixa Lavallée|3|aines
Combien de fleurs de lys sur le drapeau du Québec ?|Quatre|1|ados adultes aines
De quelle couleur est le drapeau du Québec ?|Bleu et blanc|1|enfants ados adultes aines
# Ambigu : le pont Pierre-Laporte relie aussi Québec et Lévis.
Quel pont célèbre relie Québec et Lévis ?|Le pont de Québec|2|ados adultes aines
> Quel pont cantilever centenaire relie Québec et Lévis ?|Le pont de Québec
Quelle région québécoise est surnommée le Royaume ?|Saguenay|2|ados adultes aines
Quel festival d'humour a lieu à Montréal ?|Juste pour rire|1|ados adultes aines
Quelle viande fumée est associée à Montréal ?|Le smoked meat|1|ados adultes aines
Quel quartier historique de Québec est fortifié ?|Le Vieux-Québec|1|ados adultes aines
Quel chanteur québécois a chanté Le Blues du businessman ?|Claude Dubois|2|adultes aines
Quelle ville québécoise est surnommée la ville aux cent clochers ?|Montréal|2|ados adultes aines
Quelle rue commerciale célèbre traverse Montréal ?|Sainte-Catherine|1|ados adultes aines
Quel grand marché public borde la Petite Italie ?|Jean-Talon|1|ados adultes aines
Quel stade montréalais a un mât incliné ?|Stade olympique|1|ados adultes aines
Quel surnom anglophone donne-t-on au Stade olympique ?|Le Big O|2|ados adultes aines
Quel hôtel célèbre domine le Vieux-Québec ?|Château Frontenac|1|ados adultes aines
Quelles chutes près de Québec sont plus hautes que Niagara ?|Montmorency|1|ados adultes aines
Quel lac des Cantons-de-l'Est cacherait un monstre ?|Memphrémagog|2|ados adultes aines
Quelle région est la capitale du bleuet ?|Lac-Saint-Jean|1|ados adultes aines
Quelle tourte de viandes vient du Lac-Saint-Jean ?|Le cipaille|2|ados adultes aines
Quelle soupe jaune est un classique québécois ?|Soupe aux pois|1|ados adultes aines
# Réponse dans la question : « tarte très sucrée » donnait « tarte au sucre ».
Quelle tarte très sucrée est un classique québécois ?|Tarte au sucre|1|ados adultes aines
> Quelle tarte du terroir québécois se fait avec de la cassonade et de la crème ?|La tarte au sucre
Quel lard frit croustillant sert-on à la cabane ?|Oreilles de crisse|1|ados adultes aines
Quelle boisson gazeuse traditionnelle vient de l'épinette ?|Bière d'épinette|1|ados adultes aines
Quel parc montréalais fut dessiné par Frederick Olmsted ?|Le mont Royal|2|adultes aines
Quel symbole lumineux surplombe le mont Royal ?|La croix|1|ados adultes aines
Quel pont relie Montréal à Longueuil ?|Jacques-Cartier|1|ados adultes aines
# Réponse dans la question, et quasi-doublon de la même question dans Sports.
# Retournée : le stade devient la réponse, l'équipe devient l'indice.
Quelle équipe de soccer professionnelle joue à Montréal ?|CF Montréal|1|ados adultes aines
> Dans quel stade le CF Montréal joue-t-il ses matchs ?|Le Stade Saputo
Quelle équipe de football joue à Montréal ?|Les Alouettes|1|ados adultes aines
Quel trophée remporte le champion de la LCF ?|La coupe Grey|1|ados adultes aines
Quel humoriste québécois a créé le personnage de Sol ?|Marc Favreau|2|adultes aines
Quel dramaturge québécois a écrit Les Belles-Sœurs ?|Michel Tremblay|2|adultes aines
Quelle émission culte met en scène Popa et Moman ?|La Petite Vie|1|adultes aines
Quelle émission satirique anime Jean-René Dufort ?|Infoman|1|adultes aines
Quel film de Denys Arcand a gagné un Oscar ?|Invasions barbares|2|adultes aines
Quel réalisateur québécois a tourné Dune ?|Denis Villeneuve|2|ados adultes
Quel style musical a son grand festival à Montréal en juillet ?|Le jazz|1|ados adultes aines
Quelle embarcation traverse le fleuve gelé au Carnaval ?|Le canot|1|ados adultes aines
Quelle université francophone montréalaise est la plus grande ?|UdeM|2|ados adultes aines
Quel fromage frais grince sous la dent ?|Fromage en grains|1|enfants ados adultes aines
Quel mot québécois désigne une petite amie ?|Une blonde|1|ados adultes aines
Quel mot québécois désigne un épi de maïs ?|Un blé d'Inde|1|enfants ados adultes aines
Quel mammifère marin blanc remonte le Saguenay ?|Le béluga|1|enfants ados adultes aines
Quelle île gaspésienne abrite des fous de Bassan ?|Bonaventure|2|ados adultes aines
# Réponse dans la question : « Manicouagan » et « 5 » donnaient « Manic-5 ».
Quel barrage géant porte le numéro 5 sur la Manicouagan ?|Manic-5|2|ados adultes aines
> Quel barrage de la Côte-Nord est devenu le symbole d'Hydro-Québec dans les années 1960 ?|Manic-5
Quel mot québécois désigne des chaussures de sport ?|Des espadrilles|1|enfants ados adultes aines
Quel comédien incarne Elvis Gratton ?|Julien Poulin|2|adultes aines
Quel tunnel relie Montréal et la Rive-Sud ?|Louis-H.-La Fontaine|1|ados adultes aines
Combien de régions administratives compte le Québec ?|17|3|adultes aines
# Réponse dans la question.
Quelle région québécoise est la plus au nord ?|Nord-du-Québec|2|ados adultes aines
> Quelle région administrative couvre à elle seule plus de la moitié du Québec ?|Le Nord-du-Québec
Quelle ville est la capitale de l'Outaouais ?|Gatineau|1|ados adultes aines
Quelle ville québécoise est célèbre pour son festival western ?|Saint-Tite|1|ados adultes aines
Quelle ville de la Mauricie est à mi-chemin Québec-Montréal ?|Trois-Rivières|1|ados adultes aines
Quelle ville se proclame capitale mondiale de l'érable ?|Plessisville|3|adultes aines
Quelle ville de l'Estrie abrite l'Université Bishop's ?|Sherbrooke|2|ados adultes aines
Quelle route ceinture la péninsule gaspésienne ?|La 132|2|ados adultes aines
Quelle péninsule québécoise s'avance dans le golfe ?|La Gaspésie|1|ados adultes aines
Quelles îles québécoises sont au milieu du golfe ?|Îles de la Madeleine|1|ados adultes aines
Quel fjord spectaculaire abrite des bélugas ?|Fjord du Saguenay|1|ados adultes aines
Quel lac immense borde Roberval et Alma ?|Lac Saint-Jean|1|ados adultes aines
Quelle île montréalaise accueille La Ronde ?|Île Sainte-Hélène|1|ados adultes aines
Quel circuit de F1 se trouve sur l'île Notre-Dame ?|Gilles-Villeneuve|1|ados adultes aines
Quel dôme géodésique brille sur l'île Sainte-Hélène ?|La Biosphère|1|ados adultes aines
Quel musée montréalais borde la rue Sherbrooke ouest ?|Beaux-arts|2|ados adultes aines
Quel quartier montréalais a une porte paifang ?|Quartier chinois|1|ados adultes aines
Quelle basilique du Vieux-Montréal a un plafond bleu étoilé ?|Notre-Dame|1|ados adultes aines
Quel oratoire montréalais fut fondé par le frère André ?|Saint-Joseph|1|ados adultes aines
Quel frère québécois guérisseur est devenu saint ?|Frère André|1|ados adultes aines
# Ambigu : le Vieux-Québec a plusieurs côtes qui cassent les mollets. On vise un lieu unique.
Quelle côte célèbre du Vieux-Québec casse les mollets ?|Côte de la Montagne|3|adultes aines
> Quel escalier du Vieux-Québec porte un nom qui promet une chute ?|L'escalier Casse-Cou
Quelle rue étroite du Vieux-Québec est très photographiée ?|Petit-Champlain|1|ados adultes aines
Quelles plaines célèbres bordent le Vieux-Québec ?|Plaines d'Abraham|1|ados adultes aines
Quel hébergement québécois est rebâti chaque hiver ?|Hôtel de glace|1|ados adultes aines
Dans quelle ville l'aquarium présente-t-il des ours blancs ?|Québec|1|enfants ados adultes aines
Quel zoo québécois est dédié à la faune nordique ?|Saint-Félicien|1|enfants ados adultes aines
Quel village québécois reconstitue la vie de 1900 ?|Val-Jalbert|2|adultes aines
Quelle chanson de Félix Leclerc célèbre une île ?|Le tour de l'île|2|adultes aines
