# Sports, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Combien de joueurs par équipe au soccer ?|Onze|1
Combien de joueurs sur la glace par équipe au hockey ?|Six|1
Combien de joueurs par équipe au basketball ?|Cinq|1
Combien de joueurs par équipe au volleyball ?|Six|2
Combien de périodes dans un match de hockey ?|Trois|1
Combien de manches dans un match de baseball ?|Neuf|1
Combien de prises pour retirer un frappeur ?|Trois|1
Quelle est la distance d'un marathon ?|42,2 km|2
Combien d'anneaux sur le drapeau olympique ?|Cinq|1
Où ont eu lieu les premiers Jeux olympiques modernes ?|Athènes|2
Quelle course cycliste est la plus célèbre au monde ?|Le Tour de France|1
Quel tournoi de tennis se joue sur gazon à Londres ?|Wimbledon|2
Quel trophée remporte le champion de la LNH ?|La coupe Stanley|1
Combien de coupes Stanley pour les Canadiens de Montréal ?|24|2
Quel joueur de hockey est surnommé La Merveille ?|Wayne Gretzky|1
Quel numéro portait Wayne Gretzky ?|99|1
Quel sprinteur détient le record du 100 mètres ?|Usain Bolt|1
Combien de points vaut un touché au football ?|Six|2
Quel sport se joue avec un volant ?|Le badminton|1
Quel autre nom donne-t-on au ping-pong ?|Tennis de table|1
Dans quel sport utilise-t-on un fer et un vert ?|Le golf|1
Comment nomme-t-on un trou d'un coup au golf ?|Un as|2
Quel grand prix de F1 se court dans les rues d'une principauté ?|Monaco|2
Quel pilote québécois a donné son nom au circuit de Montréal ?|Gilles Villeneuve|1
Quel sport de combat n'utilise que les poings ?|La boxe|1
Quel style de nage porte le nom d'un insecte ?|Le papillon|1
Tous les combien d'années a lieu la Coupe du monde de soccer ?|Quatre ans|1
Quel pays a remporté le plus de Coupes du monde de soccer ?|Le Brésil|2
Dans quel sport marque-t-on des essais ?|Le rugby|2
Quel sport de glace utilise des pierres et des balais ?|Le curling|1
Quel sport pratique-t-on sur une planche dans les vagues ?|Le surf|1
Combien de quilles dans un jeu de bowling ?|Dix|1
Quel sport combine ski de fond et tir ?|Le biathlon|2
Dans quel sport dit-on échec et mat ?|Les échecs|1
Quelle équipe de baseball a joué à Montréal ?|Les Expos|1
Quel boxeur se surnommait The Greatest ?|Muhammad Ali|2
Combien de sets gagnants pour un match de tennis masculin en grand chelem ?|Trois|2
Quel objet frappe-t-on au hockey ?|La rondelle|1
Quelle gymnaste a obtenu le premier 10 parfait ?|Nadia Comăneci|3
Dans quelle ville ont eu lieu les JO d'été de 1976 ?|Montréal|1
Combien de trous compte un parcours de golf complet ?|18|1
Combien de minutes dure une période de hockey ?|20|1
Combien de minutes dure un match de soccer ?|90|1
Qui a inventé le basketball ?|James Naismith|3
Quel pays est le berceau du hockey sur glace ?|Le Canada|1
Quel sport pratique Tiger Woods ?|Le golf|1
Quel sport pratiquait Serena Williams ?|Le tennis|1
Quel sport pratiquait Michael Phelps ?|La natation|1
Combien de médailles d'or olympiques a Michael Phelps ?|23|3
Quel joueur de soccer est surnommé CR7 ?|Cristiano Ronaldo|1
Quel Argentin a soulevé la Coupe du monde 2022 ?|Lionel Messi|1
Quel pays a accueilli la Coupe du monde 2022 ?|Le Qatar|2
Dans quel sport parle-t-on de peloton ?|Le cyclisme|1
Quel maillot porte le meneur du Tour de France ?|Le maillot jaune|1
Quel sport japonais oppose deux colosses dans un cercle ?|Le sumo|1
Quel art martial signifie voie de la souplesse ?|Le judo|3
Quel art martial coréen privilégie les coups de pied ?|Le taekwondo|2
Dans quel sport évolue-t-on sur une poutre ?|La gymnastique|1
Quelle discipline de ski slalome entre des piquets ?|Le slalom|1
Quel sport de glisse se pratique à plat ventre ?|Le skeleton|2
Quel sport d'hiver canadien se joue avec un ballon et des balais ?|Le ballon-balai|2
Quel est le sport national d'été du Canada ?|La crosse|2
Combien de points vaut un panier de loin au basketball ?|Trois|1
Combien de points vaut un lancer franc au basketball ?|Un|1
Quel tournoi de tennis se joue sur terre battue à Paris ?|Roland-Garros|2
Quel mot anglais désigne zéro au tennis ?|Love|2
Quel gardien québécois a popularisé le style papillon ?|Patrick Roy|2
Quel capitaine des Penguins est surnommé Sid the Kid ?|Sidney Crosby|1
Quel numéro portait Maurice Richard ?|9|1
Combien d'équipes compte la LNH aujourd'hui ?|32|2
Quelle ville canadienne a reçu les JO d'hiver de 2010 ?|Vancouver|1
Quelle ville canadienne a reçu les JO d'hiver de 1988 ?|Calgary|2
Dans quel sport porte-t-on un fleuret et un masque ?|L'escrime|1
Quel sport de raquette utilise une petite balle noire ?|Le squash|2
Quel jeu provençal lance des boules vers un cochonnet ?|La pétanque|1
Combien de joueurs par équipe au rugby à XV ?|Quinze|2
Quel trophée est remis au champion du Super Bowl ?|Trophée Lombardi|3
Quel événement sportif américain a lieu un dimanche de février ?|Le Super Bowl|1
Quelle équipe de la NBA vient de Toronto ?|Les Raptors|1
Quel joueur de la NBA est surnommé King James ?|LeBron James|1
Quel basketteur légendaire portait le 23 des Bulls ?|Michael Jordan|1
Quel sport se joue à Wimbledon ?|Le tennis|1
Combien de joueurs par équipe au water-polo ?|Sept|3
Quel sport olympique mélange danse et piscine ?|Natation artistique|1
De quel plongeoir olympique saute-t-on de plus haut ?|10 mètres|2
Quelle nage s'effectue sur le dos ?|Le dos crawlé|1
Quelle est la nage la plus rapide ?|Le crawl|1
Combien de styles de nage existe-t-il en compétition ?|Quatre|2
Quelle longueur fait une piscine olympique ?|50 mètres|2
Combien de kilomètres fait un triathlon olympique à vélo ?|40|3
Quel coureur canadien a perdu son titre olympique en 1988 ?|Ben Johnson|2
Quel sprinteur canadien a gagné le 100 m aux JO de 1996 ?|Donovan Bailey|2
Quel joueur de tennis canadien a atteint la finale de Wimbledon ?|Milos Raonic|2
Quelle Canadienne a gagné les Internationaux des USA en 2019 ?|Bianca Andreescu|2
Quel golfeur canadien a gagné le Masters en 2003 ?|Mike Weir|2
# Faute dans la source : « a bat ».
Quel hockeyeur a bat le record de buts de Gretzky en 2025 ?|Ovechkin|2
> Quel hockeyeur a battu le record de buts de Gretzky en 2025 ?|Ovechkin
Quel gardien détient le record de victoires en carrière ?|Martin Brodeur|2
Quelle équipe de hockey joue à Toronto ?|Les Maple Leafs|1
Quelle équipe de hockey joue à Edmonton ?|Les Oilers|1
Quel joueur des Oilers porte le numéro 97 ?|Connor McDavid|1
Quel trophée récompense le meilleur marqueur de la LNH ?|Art Ross|2
Quel trophée récompense le joueur le plus utile de la LNH ?|Hart|2
Combien de temps dure une punition mineure au hockey ?|Deux minutes|1
Comment nomme-t-on trois buts d'un même joueur ?|Un tour du chapeau|1
Quel objet lance-t-on sur la glace après un tour du chapeau ?|Des chapeaux|1
Quelle ligne rouge coupe la patinoire en deux ?|Ligne centrale|1
Quel officiel siffle les punitions ?|L'arbitre|1
Combien de minutes dure un quart au football américain ?|Quinze|2
Combien vaut un placement au football ?|Trois points|1
Combien vaut un converti de deux points ?|Deux|1
Quel poste lance le ballon au football ?|Le quart-arrière|1
Quel quart-arrière a gagné sept Super Bowls ?|Tom Brady|1
Combien de balles mènent à un but sur balles au baseball ?|Quatre|1
Comment nomme-t-on un circuit avec les buts remplis ?|Grand chelem|1
# Ambigu : Dawson, Raines, Martinez et Guerrero y sont aussi.
Quel joueur des Expos est au Temple de la renommée ?|Gary Carter|2
> Quel receveur des Expos, surnommé The Kid, est au Temple de la renommée ?|Gary Carter
Quel stade accueillait les Expos ?|Stade olympique|1
Quelle équipe canadienne a gagné la Série mondiale en 1992 ?|Blue Jays|2
Quel lanceur québécois a gagné un Cy Young ?|Éric Gagné|2
Dans quel sport lance-t-on un javelot ?|L'athlétisme|1
Quel objet lourd lance-t-on en le faisant tournoyer ?|Le marteau|2
Quelle course olympique est la plus courte ?|Le 100 mètres|1
Combien de haies compte le 110 mètres haies ?|Dix|2
Quel saut utilise une longue perche ?|Saut à la perche|1
Quelle épreuve combine dix disciplines ?|Le décathlon|1
Quelle épreuve féminine combine sept disciplines ?|L'heptathlon|2
Quel coureur éthiopien a gagné le marathon pieds nus ?|Abebe Bikila|3
Quel objet se passent les coureurs de relais ?|Le témoin|1
Combien de coureurs dans un relais 4x100 ?|Quatre|1
Quel sport combine natation, vélo et course ?|Le triathlon|1
Quel sport olympique mélange saut à ski et ski de fond ?|Combiné nordique|2
# L'alpinisme monte, il ne descend pas.
Quel sport de montagne descend des pentes gelées à crampons ?|L'alpinisme|2
> Quel sport de montagne grimpe des parois gelées à crampons ?|L'alpinisme
Quel sport descend des rivières en radeau pneumatique ?|Le rafting|1
Quel sport glisse sur l'eau tiré par un bateau ?|Le ski nautique|1
Quel sport surfe sur la neige ?|La planche à neige|1
Quel sport de raquette au nom de cornichon est en plein essor ?|Le pickleball|2
Quelle équipe montréalaise joue au soccer professionnel ?|CF Montréal|1
Quel circuit montréalais accueille le Grand Prix ?|Gilles-Villeneuve|1
Quel pilote britannique a gagné 7 titres de F1 ?|Lewis Hamilton|2
