# Geographie, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Capitale de la France ?|Paris|1
Capitale de l'Italie ?|Rome|1
Capitale de l'Espagne ?|Madrid|1
Capitale du Japon ?|Tokyo|1
Capitale du Canada ?|Ottawa|1
Capitale des États-Unis ?|Washington|1
Capitale de l'Australie ?|Canberra|2
Capitale de l'Allemagne ?|Berlin|1
Capitale de la Russie ?|Moscou|1
Capitale de l'Angleterre ?|Londres|1
Quel fleuve traverse l'Égypte ?|Le Nil|1
Quel est le plus haut sommet du monde ?|L'Everest|1
Quel est le plus grand désert chaud du monde ?|Le Sahara|1
Quel est le plus grand pays du monde ?|La Russie|1
Quel est le plus petit pays du monde ?|Le Vatican|2
Quel est le continent le plus peuplé ?|L'Asie|1
Quel est le plus grand océan ?|Le Pacifique|1
Dans quel pays vivent les kangourous ?|L'Australie|1
Quel volcan célèbre domine le Japon ?|Le mont Fuji|2
Quelle cordillère longe l'Amérique du Sud ?|Les Andes|2
Dans quel pays se trouve la majorité de l'Amazonie ?|Le Brésil|1
Langue parlée au Brésil ?|Le portugais|2
Langue parlée au Mexique ?|L'espagnol|1
Combien de provinces compte le Canada ?|Dix|1
Quelle est la plus petite province canadienne ?|Prince-Édouard|1
Combien y a-t-il de Grands Lacs ?|Cinq|1
Quel est le plus grand des Grands Lacs ?|Le lac Supérieur|2
Quelle mer sépare l'Europe de l'Afrique ?|La Méditerranée|1
Quelle chaîne de montagnes traverse la Suisse ?|Les Alpes|1
Quelle ville italienne est célèbre pour ses canaux ?|Venise|1
Où se trouvent les pyramides de Gizeh ?|En Égypte|1
Quel pays a offert la statue de la Liberté ?|La France|2
Dans quelle ville se trouve la tour Eiffel ?|Paris|1
Quel détroit sépare l'Europe de l'Afrique ?|Gibraltar|2
Quel pays a la feuille d'érable sur son drapeau ?|Le Canada|1
Quel océan borde la côte ouest du Canada ?|Le Pacifique|1
Quel est le plus long fleuve du Canada ?|Le Mackenzie|3
Sur quel continent se trouve le pôle Sud ?|L'Antarctique|1
# La réponse a changé en 2023 ; bien du monde répond encore la Chine.
Quel pays compte le plus d'habitants ?|L'Inde|2
> Quel pays a dépassé la Chine en population en 2023 ?|L'Inde
Quelle île française a vu naître Napoléon ?|La Corse|2
Capitale de la Chine ?|Pékin|1
Capitale de l'Inde ?|New Delhi|2
Capitale du Brésil ?|Brasilia|2
Capitale de l'Argentine ?|Buenos Aires|2
Capitale de l'Égypte ?|Le Caire|2
Capitale de la Grèce ?|Athènes|1
Capitale du Portugal ?|Lisbonne|2
Capitale de la Suisse ?|Berne|3
Capitale de la Belgique ?|Bruxelles|1
Capitale des Pays-Bas ?|Amsterdam|2
Capitale de la Suède ?|Stockholm|2
Capitale de la Norvège ?|Oslo|2
Capitale de l'Irlande ?|Dublin|2
Capitale de l'Écosse ?|Édimbourg|2
Capitale de la Pologne ?|Varsovie|2
Capitale de l'Autriche ?|Vienne|2
Capitale de la Turquie ?|Ankara|3
Capitale du Maroc ?|Rabat|3
Capitale du Mexique ?|Mexico|1
Capitale de Cuba ?|La Havane|2
Capitale de la Corée du Sud ?|Séoul|2
Capitale du Danemark ?|Copenhague|2
Capitale de la Finlande ?|Helsinki|2
Capitale de l'Islande ?|Reykjavik|3
Capitale du Kenya ?|Nairobi|3
Capitale de la Colombie-Britannique ?|Victoria|2
Capitale de l'Ontario ?|Toronto|1
Capitale de l'Alberta ?|Edmonton|2
Capitale du Manitoba ?|Winnipeg|2
Capitale de la Nouvelle-Écosse ?|Halifax|2
Capitale du Nouveau-Brunswick ?|Fredericton|2
Capitale de Terre-Neuve ?|Saint-Jean|2
Quel territoire canadien a Iqaluit pour capitale ?|Le Nunavut|2
Quel territoire canadien a Whitehorse pour capitale ?|Le Yukon|2
Quel fleuve traverse Paris ?|La Seine|1
