# Sciences et nature, accentuee et cotee. Meme ordre que Questions.cpp.
# Format : Question|Réponse|niveau (1 facile, 2 moyen, 3 connaisseur).
# Une ligne « > Question|Réponse » retouche la question juste au-dessus dans
# les fichiers générés, sans toucher au firmware.
Quelle est la formule chimique de l'eau ?|H2O|1
Combien de planètes dans le système solaire ?|Huit|1
Quelle planète est surnommée la planète rouge ?|Mars|1
Quelle est la planète la plus proche du Soleil ?|Mercure|2
Quelle est la plus grosse planète du système solaire ?|Jupiter|1
Le Soleil est-il une planète ou une étoile ?|Une étoile|1
À quelle température l'eau bout-elle ?|100 degrés C|1
À quelle température l'eau gèle-t-elle ?|0 degré C|1
Combien d'os dans le squelette humain adulte ?|206|2
Combien de pattes possède une araignée ?|Huit|1
Combien de pattes possède un insecte ?|Six|1
Quel est le plus grand animal du monde ?|La baleine bleue|1
Quel est l'animal terrestre le plus rapide ?|Le guépard|1
Quel insecte produit le miel ?|L'abeille|1
Quel est le seul mammifère volant ?|La chauve-souris|1
Le dauphin est-il un poisson ou un mammifère ?|Un mammifère|1
Qui a découvert la gravitation ?|Newton|1
Qui a développé la théorie de la relativité ?|Einstein|1
Quelle scientifique a étudié la radioactivité ?|Marie Curie|2
Quel gaz les plantes rejettent-elles le jour ?|L'oxygène|1
Comment s'appelle la transformation de la chenille ?|La métamorphose|1
Que devient un têtard ?|Une grenouille|1
Quelle molécule porte notre code génétique ?|L'ADN|1
De quel élément le diamant est-il composé ?|Le carbone|2
Quel est le symbole chimique de l'or ?|Au|2
Quel est le symbole chimique du fer ?|Fe|2
Quelle échelle mesure les séismes ?|Richter|1
Quel instrument sert à observer les étoiles ?|Le télescope|1
Quel instrument sert à observer les microbes ?|Le microscope|1
Où vivent les ours polaires ?|En Arctique|1
Sur quel continent vivent les manchots empereurs ?|L'Antarctique|2
Combien de cavités possède le cœur humain ?|Quatre|2
Quel organe pompe le sang ?|Le cœur|1
Quels organes nous servent à respirer ?|Les poumons|1
Quelle est la vitesse approximative de la lumière ?|300 000 km/s|2
Qu'est-ce qui est le plus rapide : le son ou la lumière ?|La lumière|1
Quel phénomène lumineux accompagne le tonnerre ?|L'éclair|1
Combien de temps la Terre met-elle à tourner sur elle-même ?|24 heures|1
Quel astre provoque les marées ?|La Lune|1
Quel reptile change de couleur pour se camoufler ?|Le caméléon|1
Quel gaz compose 78 pour cent de l'air ?|L'azote|2
Quelle planète a les anneaux les plus spectaculaires ?|Saturne|1
Quelle est l'étoile la plus proche de la Terre ?|Le Soleil|1
Combien de minutes met la lumière du Soleil à nous parvenir ?|Huit|2
Quels organes filtrent le sang ?|Les reins|1
Quel organe produit l'insuline ?|Le pancréas|2
Quel est le plus grand organe du corps humain ?|La peau|2
Combien de dents de lait a un enfant ?|20|2
Quelles cellules du sang combattent les infections ?|Globules blancs|1
De quel métal est principalement fait l'acier ?|Le fer|1
Quelle planète est la plus chaude du système solaire ?|Vénus|3
Quelle unité mesure le courant électrique ?|L'ampère|2
Quelle unité mesure la puissance ?|Le watt|2
Quelle unité mesure la fréquence ?|Le hertz|2
Quelle unité mesure la force ?|Le newton|2
Quel cousin rayé du cheval vit en Afrique ?|Le zèbre|1
Quel animal marin a trois cœurs ?|La pieuvre|2
Quel animal marin peut régénérer ses bras ?|L'étoile de mer|1
Quel est le plus grand oiseau du monde ?|L'autruche|1
Quel minuscule oiseau peut voler en arrière ?|Le colibri|1
Quel est l'os le plus long du corps humain ?|Le fémur|1
Combien de vertèbres a le cou d'une girafe ?|Sept|3
Quel grand reptile du Nil était sacré en Égypte ?|Le crocodile|1
Quel mammifère australien a un bec de canard ?|L'ornithorynque|2
Combien de mois dure la gestation de l'éléphant ?|22|3
Quel insecte soulève 50 fois son poids ?|La fourmi|1
Combien d'ailes possède une abeille ?|Quatre|2
Quel arbre géant de Californie est le plus gros du monde ?|Le séquoia|2
Quelle plante carnivore referme ses mâchoires sur les mouches ?|La dionée|3
