# Catégorie : Cinéma et télé
#
# Questions écrites pour la collection « 7 à 77 ans », hors firmware. Le jeu
# se joue à l'oral : la réponse doit s'entendre sans équivoque, et une seule
# réponse doit être possible. Format : Question|Réponse|niveau.
Quel jouet de Toy Story est une patate avec des pièces à enlever ?|Monsieur Patate|1
Quel lapin de dessin animé croque une carotte en disant « Quoi de neuf, docteur ? » ?|Bugs Bunny|1
Quel canard noir est le rival de Bugs Bunny ?|Daffy Duck|1
Quel oiseau de dessin animé file à toute vitesse en faisant « bip bip » ?|Bip Bip|1
Quel coyote n'arrive jamais à attraper Bip Bip ?|Vil Coyote|1
Quel chat de dessin animé court après la souris Jerry ?|Tom|1
Quel petit oiseau jaune échappe toujours au chat Grosminet ?|Titi|1
Quel ours brun de dessin animé vole des paniers de pique-nique ?|Yogi|1
Quel ourson jaune raffole du miel ?|Winnie l'ourson|1
Quel ami de Winnie l'ourson est un petit cochon rose ?|Porcinet|1
Quel ami de Winnie l'ourson est un tigre qui bondit sur sa queue ?|Tigrou|1
Quel ami de Winnie l'ourson est un âne toujours triste ?|Bourriquet|1
Quel personnage de Sesame Street est un grand oiseau jaune ?|Big Bird|1
Quel monstre bleu de Sesame Street dévore des biscuits ?|Le Monstre des biscuits|1
Quelle petite cochonne rose de la télé adore sauter dans les flaques de boue ?|Peppa Pig|1
Dans quel film d'animation un lion, une girafe, un zèbre et un hippopotame s'échappent-ils d'un zoo de New York ?|Madagascar|1
Dans quel film d'animation un mammouth, un paresseux et un tigre à dents de sabre voyagent-ils ensemble ?|L'Ère de glace|1
Quel écureuil de L'Ère de glace court sans cesse après son gland ?|Scrat|1
Quel film de 1977 s'ouvre sur « Il y a bien longtemps, dans une galaxie lointaine » ?|La Guerre des étoiles|1
Quelle princesse Mario doit-il sauver ?|Peach|1
Quel gorille géant grimpe l'Empire State Building au cinéma ?|King Kong|1
Quel monstre géant venu du Japon écrase des villes au cinéma ?|Godzilla|1
Quel légume la marraine de Cendrillon transforme-t-elle en carrosse ?|La citrouille|1
Quel animal est Abu, l'ami d'Aladin ?|Un singe|1
Quel animal est Pascal, l'ami de Raiponce ?|Un caméléon|1
Quel animal est Sven dans La Reine des neiges ?|Un renne|1
Comment s'appelle la petite sœur d'Elsa ?|Anna|1
Quel animal est Sébastien dans La Petite Sirène ?|Un crabe|1
Quel chiot dalmatien de la Pat' Patrouille est pompier ?|Marcus|1
Quel chiot berger allemand de la Pat' Patrouille est policier ?|Chase|1
Quel garçon dirige la Pat' Patrouille ?|Ryder|1
Dans quel film de Noël un garçon oublié à la maison piège deux cambrioleurs ?|Maman, j'ai raté l'avion|1
Dans quel film de Noël un train magique emmène-t-il des enfants au pôle Nord ?|Le Pôle Express|1
Quel film d'animation organise un grand concours de chant entre animaux ?|Tous en scène|1
Quel chien de dessin animé est le compagnon de Charlie Brown ?|Snoopy|1
Quel garçon au chandail à zigzag est le maître de Snoopy ?|Charlie Brown|1
Quel film d'animation raconte une princesse écossaise aux cheveux roux qui tire à l'arc ?|Rebelle|1
Quel film d'animation raconte un garçon qui rejoint le pays des morts avec sa guitare ?|Coco|1
Quel film d'animation suit une lapine policière et un renard rusé dans une ville d'animaux ?|Zootopia|1
Quel film d'animation met en scène Dracula et sa famille de monstres dans un hôtel ?|Hôtel Transylvanie|1
Quel cochon de cinéma veut devenir chien de berger ?|Babe|1
Quel gros chien rouge de livres pour enfants est devenu un film ?|Clifford|1
Comment s'appellent les trois neveux de Donald ?|Riri, Fifi et Loulou|1
